time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.1817979,1.164373,-0.134533,0.0113896,1.152599,-0.1466974,0.1597992,1.211276,-0.2304954,0.2442424,1.288633,-0.3333138,0.0732606,1.494892,-0.2864309,-0.0802206,1.75449,-0.1833265,-0.1648425,1.481329,-0.2996586,0.0211446,-0.6570886,-0.7509325,0.023971,-0.1518918,-0.0829939,0.4246911,-0.2938205,-0.3266576,0.4080033,0.3870665,-0.4520755,0.1338939,-0.0878889,0.0300533,0.0971809,-0.1246421,0.0103435,-0.1112669,-0.3997599,-0.0452466
0.027,-0.1812128,1.1641,-0.135025,0.0119683,1.152865,-0.1455298,0.1605654,1.211429,-0.2295905,0.2447682,1.288504,-0.3326661,0.0738186,1.495119,-0.2866717,-0.0792174,1.754922,-0.1825624,-0.1642437,1.481558,-0.2989273,0.0267441,-0.6623068,-0.74633,0.028597,-0.1525668,-0.0850062,0.4234965,-0.2950212,-0.3241024,0.4051982,0.3871075,-0.4536077,0.1308243,-0.0876519,0.0302044,0.0990355,-0.1246523,0.0089796,-0.1100605,-0.4017974,-0.0437863
0.05,-0.1805332,1.165575,-0.1333037,0.0127638,1.153221,-0.1443454,0.1611171,1.211867,-0.2285581,0.2453293,1.28876,-0.3318921,0.0734008,1.494769,-0.2865296,-0.0789359,1.754776,-0.1824044,-0.1641808,1.481575,-0.2986935,0.0212798,-0.6717193,-0.7378856,0.025337,-0.148135,-0.0845495,0.424862,-0.2945462,-0.3247557,0.4035668,0.386029,-0.4544036,0.1357931,-0.0928517,0.0296305,0.0976435,-0.1241087,0.0080636,-0.1097071,-0.4008709,-0.0429213
0.072,-0.1796331,1.165893,-0.1316217,0.0131634,1.153461,-0.1436179,0.161848,1.212106,-0.2273613,0.2460893,1.288988,-0.3310602,0.0734383,1.494906,-0.286572,-0.0785779,1.754835,-0.1822338,-0.1639774,1.481561,-0.2985531,0.0175693,-0.6709474,-0.7385429,0.0265306,-0.1489414,-0.0847396,0.4239821,-0.294661,-0.3244618,0.4041921,0.3836012,-0.451767,0.1371957,-0.0952486,0.0300058,0.0973149,-0.1239295,0.006861,-0.1095091,-0.4010825,-0.0427156
0.095,-0.1791876,1.164561,-0.1326981,0.0136923,1.153773,-0.1427615,0.1628594,1.212662,-0.2254648,0.2474907,1.289574,-0.3288821,0.0737638,1.494949,-0.2867518,-0.0779564,1.755033,-0.182243,-0.1637481,1.481338,-0.2988205,0.0254528,-0.6711532,-0.7380115,0.0277559,-0.1437376,-0.0863709,0.4222724,-0.2974123,-0.3156239,0.40259,0.3810709,-0.4489568,0.1377626,-0.0942443,0.029174,0.0980922,-0.1230404,0.0052122,-0.1107894,-0.3969658,-0.0434849
0.117,-0.1792648,1.163434,-0.134952,0.0140363,1.153774,-0.1424115,0.1633799,1.213321,-0.2246152,0.2483988,1.290253,-0.3273662,0.074011,1.49499,-0.2869163,-0.0776641,1.755094,-0.1823139,-0.1636799,1.481189,-0.2990126,0.0330722,-0.6696221,-0.7393649,0.0275435,-0.1370709,-0.0881701,0.4238454,-0.3011506,-0.3135525,0.405222,0.3783695,-0.4472852,0.1376729,-0.0923329,0.0282736,0.0979487,-0.1223677,0.0045594,-0.112777,-0.3946002,-0.0438663
0.14,-0.1793535,1.163016,-0.1374924,0.0139773,1.153786,-0.1423579,0.1637446,1.213799,-0.2235854,0.2494434,1.290451,-0.3258119,0.0740143,1.495096,-0.2868533,-0.0773155,1.755223,-0.1824881,-0.1637455,1.481056,-0.2989988,0.0391705,-0.6682884,-0.7406899,0.0294561,-0.134059,-0.0901174,0.4244459,-0.3033617,-0.3107865,0.403796,0.3755409,-0.4439079,0.1380346,-0.091825,0.0281111,0.0984301,-0.1213137,0.0043894,-0.1146502,-0.3945186,-0.0438199
0.163,-0.1794714,1.16285,-0.1390169,0.0139628,1.153628,-0.1424576,0.1639935,1.214156,-0.2227773,0.2502045,1.29121,-0.3246301,0.074129,1.495223,-0.2868815,-0.0771998,1.75508,-0.1827605,-0.1633436,1.481024,-0.2993385,0.0417969,-0.6693296,-0.7397494,0.0302471,-0.131057,-0.0890806,0.4267485,-0.3036548,-0.3103825,0.4088534,0.3713128,-0.4411877,0.1365494,-0.08973,0.0275989,0.0969154,-0.1199621,0.0037975,-0.1123909,-0.3974592,-0.0422716
0.184,-0.1796768,1.162478,-0.1404639,0.0137113,1.153837,-0.1425399,0.1643429,1.214413,-0.2216791,0.2510006,1.291377,-0.3224066,0.0744059,1.495319,-0.2866153,-0.0767676,1.755285,-0.1830938,-0.1632711,1.480809,-0.299975,0.0469333,-0.6674134,-0.7413241,0.0320878,-0.1301358,-0.091371,0.428178,-0.3069904,-0.3065013,0.407123,0.370338,-0.4388506,0.1358081,-0.0859897,0.0282066,0.0962942,-0.1191386,0.0024791,-0.1130497,-0.3967551,-0.0418155
0.205,-0.1799912,1.162004,-0.1409415,0.0133816,1.154037,-0.1424323,0.1642344,1.214544,-0.2207566,0.2516194,1.291613,-0.3217488,0.0746438,1.495424,-0.2865622,-0.076569,1.755446,-0.1833938,-0.163032,1.480743,-0.300552,0.050533,-0.6725791,-0.736324,0.033752,-0.1312502,-0.0911542,0.4259923,-0.3100543,-0.3040474,0.410899,0.367271,-0.4357422,0.1342914,-0.0810788,0.0285178,0.0959608,-0.1189038,0.0020189,-0.1111609,-0.3987234,-0.0412282
