time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.144708,1.187857,-0.1091952,0.0424449,1.156504,-0.1477565,0.1826119,1.219032,-0.2387596,0.2386011,1.318198,-0.3203431,0.0734191,1.496266,-0.2782957,-0.0498611,1.756998,-0.1594358,-0.1649602,1.48136,-0.271822,-0.0827983,-0.6667854,-0.7364056,0.0095774,-0.2078899,-0.0540376,0.4201589,-0.270484,-0.3122227,0.5598539,0.3140304,-0.2363865,0.1280477,-0.1354659,0.0192309,0.0821545,0.0052916,-0.0211076,-0.1081584,-0.354422,-0.0430436
0.022,-0.1450177,1.188001,-0.1095649,0.0423159,1.156494,-0.1474208,0.1827595,1.219005,-0.2381111,0.2388718,1.317988,-0.3195457,0.0735974,1.496086,-0.2779911,-0.0506144,1.756773,-0.1592578,-0.1646548,1.481249,-0.2724654,-0.0812342,-0.66746,-0.736066,0.0095507,-0.2063512,-0.0541576,0.4212655,-0.2718744,-0.3110394,0.5600275,0.3120732,-0.2352475,0.1295964,-0.1333199,0.0184004,0.0817218,0.0029127,-0.019824,-0.1067861,-0.3555557,-0.0425976
0.047,-0.1455615,1.187552,-0.1103895,0.0422062,1.156414,-0.1470845,0.182852,1.219035,-0.2371738,0.2394207,1.318181,-0.3186645,0.0737732,1.496013,-0.2778461,-0.051262,1.756835,-0.1590242,-0.1643324,1.481046,-0.2731628,-0.0766985,-0.6672764,-0.7369008,0.0097614,-0.2041533,-0.0549195,0.4209315,-0.2735423,-0.3100471,0.5614588,0.3095338,-0.2319155,0.1296829,-0.130988,0.0186743,0.0814089,-0.0003446,-0.020161,-0.1050899,-0.3567776,-0.0423864
0.077,-0.1460487,1.187274,-0.1106741,0.0421088,1.156505,-0.1468666,0.1831912,1.218899,-0.2363298,0.2395712,1.318135,-0.3176066,0.0738462,1.495935,-0.2777728,-0.0518581,1.756886,-0.1589057,-0.163962,1.480814,-0.273716,-0.0718958,-0.6609771,-0.743225,0.0106176,-0.2027003,-0.0562015,0.4220392,-0.2736792,-0.3067386,0.5599705,0.3107919,-0.2320399,0.1293269,-0.1295332,0.0187688,0.0811078,-0.0036246,-0.0196808,-0.1048608,-0.3597431,-0.0419462
0.098,-0.1459644,1.187475,-0.111552,0.0421809,1.156518,-0.1465809,0.1833065,1.219304,-0.2360067,0.2397649,1.318491,-0.3169466,0.074071,1.4959,-0.2775818,-0.0523781,1.757026,-0.1587146,-0.1637397,1.480726,-0.2738898,-0.0716647,-0.6664349,-0.7383949,0.0126583,-0.2018791,-0.0561914,0.4229339,-0.2754931,-0.3068143,0.5610036,0.3109325,-0.2341546,0.1292292,-0.1287075,0.0179304,0.0815003,-0.0047842,-0.0193376,-0.1053579,-0.3585885,-0.0406625
0.121,-0.1459254,1.187545,-0.1119261,0.0423109,1.156637,-0.1466031,0.183538,1.219372,-0.2356545,0.2404805,1.318455,-0.3167641,0.0741741,1.495862,-0.2774158,-0.0525279,1.757186,-0.1586353,-0.1637251,1.480597,-0.2740353,-0.0708765,-0.6676589,-0.7374428,0.0110246,-0.2003414,-0.0561853,0.4235409,-0.2751014,-0.3068301,0.5612428,0.3079559,-0.2286301,0.1291725,-0.127924,0.018198,0.0820957,-0.0061749,-0.01919,-0.1061202,-0.3582515,-0.0409871
0.143,-0.1458234,1.187711,-0.1121955,0.0424307,1.15665,-0.1464786,0.1836877,1.219636,-0.2354493,0.2407396,1.318793,-0.3162308,0.0743572,1.496136,-0.2774922,-0.0527768,1.757149,-0.1585219,-0.1635663,1.480631,-0.274452,-0.0704345,-0.6668165,-0.7384989,0.012883,-0.1995643,-0.0566846,0.4239113,-0.2758146,-0.3070494,0.5619573,0.3082139,-0.2297245,0.1256277,-0.1245958,0.019203,0.0819373,-0.0070264,-0.0191253,-0.1043957,-0.3601199,-0.0411771
0.166,-0.1457791,1.186657,-0.1123886,0.0425002,1.156682,-0.1464991,0.1839273,1.219896,-0.2352045,0.2411132,1.319005,-0.3160433,0.0743949,1.496187,-0.2772451,-0.0528798,1.75732,-0.1584632,-0.1636185,1.480599,-0.2745414,-0.068114,-0.6648576,-0.7400456,0.013328,-0.1993052,-0.0571707,0.4240434,-0.2757284,-0.3068585,0.5627651,0.3062979,-0.2274931,0.1266569,-0.1241295,0.0178125,0.0820989,-0.0080042,-0.0191216,-0.1065505,-0.3612064,-0.042108
0.188,-0.1459558,1.186283,-0.1125754,0.0426425,1.156636,-0.1464738,0.1840827,1.219993,-0.2351334,0.2411883,1.319073,-0.3157031,0.0745945,1.496306,-0.2772771,-0.0528552,1.757458,-0.1584581,-0.1634235,1.480424,-0.2745911,-0.0653149,-0.6650274,-0.740119,0.0135386,-0.197991,-0.057408,0.4245913,-0.2764768,-0.3049989,0.561421,0.3079139,-0.2275301,0.1248593,-0.122098,0.018158,0.0819542,-0.0085365,-0.0190832,-0.106134,-0.3621474,-0.0414954
0.208,-0.1460024,1.186185,-0.1126615,0.0427879,1.156628,-0.1464328,0.1841711,1.220165,-0.2350192,0.2412279,1.319229,-0.315567,0.0745895,1.496298,-0.2771414,-0.0528019,1.7575,-0.1584694,-0.1634362,1.480398,-0.2746742,-0.0647411,-0.6645827,-0.7406183,0.0131065,-0.196572,-0.0575168,0.424278,-0.2762778,-0.3059739,0.5617822,0.3076767,-0.227775,0.1255734,-0.122735,0.0178562,0.0816287,-0.0086322,-0.019525,-0.106058,-0.3625166,-0.0413725
