time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.1997883,1.055515,-0.07349,-0.032804,1.08148,-0.1503306,0.05954,1.082621,-0.2573382,0.101333,1.201437,-0.3438674,-0.0132359,1.328755,-0.2699048,-0.112664,1.555021,-0.1373696,-0.2476499,1.317638,-0.214179,0.1701729,0.5150307,0.8024132,0.0121884,0.201482,0.273481,-0.3589754,0.1493306,0.6933335,0.546599,0.4481344,-0.3520188,-0.0417255,0.2232413,-0.0023838,0.0842444,0.0744374,0.0183051,0.0532487,0.1186163,0.0886796
0.022,-0.1984259,1.055613,-0.0713409,-0.0331222,1.080772,-0.1506333,0.0588671,1.081762,-0.2584779,0.1002897,1.200627,-0.3449077,-0.0125627,1.328585,-0.2692733,-0.1105161,1.556208,-0.1324095,-0.2465211,1.31779,-0.2103605,0.1739807,0.5154037,0.8001978,0.0101377,0.229184,0.2795202,-0.3535103,0.1473652,0.6941806,0.5473658,0.4510133,-0.3557394,-0.0342532,0.2238097,-0.0039504,0.0815582,0.0734881,0.0159965,0.0498732,0.1117199,0.0907404
0.043,-0.1979261,1.05556,-0.0705194,-0.0329926,1.080825,-0.1506898,0.0586749,1.08162,-0.2587719,0.0999461,1.200488,-0.3454505,-0.0125104,1.327939,-0.2677073,-0.1093847,1.557111,-0.1300593,-0.245908,1.317972,-0.2081317,0.1758164,0.5146751,0.7998326,0.0074754,0.2354703,0.2741311,-0.352558,0.1450841,0.697076,0.550645,0.4501938,-0.3544301,-0.0386607,0.2329064,-0.0054363,0.0814194,0.0724628,0.0149644,0.0487214,0.1110899,0.0918198
0.065,-0.1975718,1.055723,-0.0698396,-0.0318227,1.08056,-0.1502248,0.058455,1.081387,-0.2593469,0.0995366,1.200443,-0.3455511,-0.0121138,1.327625,-0.2672457,-0.1089,1.556867,-0.1276201,-0.2453306,1.318046,-0.2062832,0.1764233,0.5121461,0.8011218,0.0150421,0.2142965,0.2703198,-0.3528222,0.1421288,0.6997175,0.5512894,0.451914,-0.3567281,-0.0358582,0.2329039,-0.0041386,0.0751415,0.073654,0.0146561,0.0466332,0.1069159,0.0936693
0.088,-0.1992685,1.055241,-0.0659139,-0.0316285,1.080439,-0.150097,0.0582492,1.081491,-0.2596308,0.0985183,1.199658,-0.3451174,-0.0119717,1.327252,-0.266504,-0.1076152,1.556727,-0.1256098,-0.2446628,1.318109,-0.2042517,0.190077,0.5247906,0.7943536,0.0164932,0.2172298,0.2697079,-0.3526132,0.1417807,0.7018365,0.5456023,0.4596657,-0.3632759,-0.0337465,0.2366759,-0.0029674,0.0721485,0.0741972,0.0136837,0.0457444,0.1051577,0.0944944
0.11,-0.1957265,1.055619,-0.0676713,-0.0326303,1.080105,-0.1497426,0.0574752,1.080256,-0.2599706,0.0984076,1.199797,-0.3456202,-0.0117628,1.327323,-0.266236,-0.106788,1.557608,-0.1234354,-0.2444233,1.318254,-0.2020137,0.1840394,0.5161602,0.7961684,0.0190921,0.2342291,0.2806618,-0.3452196,0.1425127,0.6966243,0.5506681,0.4560265,-0.3612173,-0.0279013,0.2346421,-0.0044482,0.0737732,0.0751978,0.0123853,0.0455563,0.099975,0.0963072
0.132,-0.1949294,1.055912,-0.0661475,-0.0319334,1.079637,-0.1495632,0.0568216,1.079523,-0.2605309,0.0976906,1.199568,-0.3458186,-0.0113873,1.327172,-0.264945,-0.1054291,1.557758,-0.120569,-0.2435867,1.318281,-0.1987593,0.1865936,0.5167636,0.7959015,0.0164605,0.2435204,0.2775109,-0.3441161,0.141032,0.6959863,0.5523698,0.4575331,-0.361445,-0.0271024,0.2393325,-0.0050066,0.0725162,0.0767497,0.0108438,0.0475854,0.0931487,0.0976618
0.155,-0.1943722,1.054912,-0.0634558,-0.0307465,1.079792,-0.1490832,0.0569093,1.079874,-0.2599074,0.0973615,1.19955,-0.345678,-0.0113562,1.327014,-0.2642224,-0.103943,1.55725,-0.1189045,-0.2429944,1.318391,-0.1966541,0.1974414,0.4761378,0.8218044,0.0174627,0.2210378,0.2691716,-0.3454331,0.1350271,0.7038662,0.5518289,0.4583915,-0.3634608,-0.02581,0.2407399,-0.0037807,0.0713734,0.0782124,0.0098177,0.0451586,0.0914629,0.0962664
0.176,-0.1943722,1.054912,-0.0634558,-0.0306705,1.079481,-0.1485219,0.0567751,1.079877,-0.2599613,0.0970194,1.19961,-0.345601,-0.010947,1.326617,-0.2632501,-0.1033588,1.556648,-0.1169969,-0.2423871,1.318636,-0.1947915,0.1974414,0.4761378,0.8218044,0.0153381,0.240155,0.2728726,-0.3462241,0.1350922,0.7037518,0.5523536,0.4591599,-0.363644,-0.0261586,0.2443263,-0.0015913,0.0686058,0.0818223,0.0082911,0.0423097,0.089333,0.0967424
0.198,-0.192465,1.055309,-0.06219,-0.0302521,1.079444,-0.1477738,0.0588565,1.082598,-0.2572647,0.0960251,1.199185,-0.3446799,-0.0111374,1.326874,-0.2624817,-0.1022828,1.557677,-0.11579,-0.2419241,1.318435,-0.1927057,0.2039141,0.4886927,0.8092338,0.0181872,0.2439425,0.2715738,-0.3484652,0.1174915,0.7335938,0.5442215,0.4677721,-0.3711131,-0.0250015,0.2456665,-0.0039539,0.0754288,0.0833539,0.0057786,0.0417679,0.0864463,0.0944767
0.221,-0.1914593,1.054727,-0.060257,-0.0295848,1.079404,-0.1471034,0.0591614,1.082795,-0.2565685,0.0963975,1.199492,-0.3449978,-0.0112962,1.326886,-0.2613379,-0.1013486,1.556817,-0.1138131,-0.2416475,1.3186,-0.1904547,0.1919113,0.5061451,0.7985159,0.0215476,0.242496,0.2669266,-0.3496184,0.1134398,0.7380523,0.5496478,0.4636285,-0.3645756,-0.0273227,0.2499039,-0.0042363,0.0705321,0.0862852,0.0064999,0.0436855,0.0842479,0.0975478
0.243,-0.1891082,1.054812,-0.0567785,-0.0295707,1.078678,-0.1460786,0.0569919,1.080156,-0.2583054,0.0956414,1.199613,-0.3441595,-0.011545,1.327005,-0.2601135,-0.099485,1.557116,-0.1116669,-0.2411145,1.318384,-0.1877266,0.2173914,0.4828433,0.8083522,0.020755,0.253619,0.2745253,-0.3416032,0.1294953,0.7081506,0.5474659,0.4673732,-0.3682772,-0.0257302,0.2524278,-0.0037715,0.0758037,0.0905048,0.0049572,0.0446154,0.0807802,0.096031
0.265,-0.1916477,1.053247,-0.052248,-0.0281934,1.078773,-0.1449721,0.0570159,1.080177,-0.2577207,0.0955778,1.199819,-0.3441511,-0.011581,1.327005,-0.2592974,-0.0987796,1.557037,-0.1102376,-0.2409777,1.31849,-0.1856862,0.2123061,0.5100858,0.7928321,0.0286853,0.2440822,0.2687514,-0.3410491,0.1290251,0.709327,0.5492433,0.4663025,-0.365666,-0.026331,0.253151,-0.0021526,0.076569,0.0953841,0.0028268,0.0432541,0.0809018,0.0955287
