time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.061742,1.079988,0.0211281,0.1225462,1.143576,-0.017497,0.2348812,1.187541,-0.111164,0.2732747,1.268255,-0.184794,0.1337303,1.429001,-0.1371405,0.0199877,1.674589,-0.0230354,-0.1134292,1.437649,-0.1082357,-0.1376801,0.5299518,0.8041666,-0.1195555,0.273722,0.2227746,-0.3661673,0.2605158,0.3391905,0.6938735,0.1910935,-0.0983201,-0.0902943,0.2133417,0.1355868,0.1416956,0.0544635,0.0366047,0.1337295,0.2573084,0.1550065
0.021,-0.0620182,1.079406,0.0189035,0.1228795,1.143186,-0.0168348,0.2354123,1.187686,-0.1100675,0.2733289,1.267621,-0.1840309,0.1339644,1.428908,-0.1371778,0.020327,1.674339,-0.0224421,-0.1129744,1.438301,-0.1065106,-0.1496895,0.527424,0.8056948,-0.1184339,0.2719154,0.222371,-0.3634664,0.2600037,0.3402815,0.6898557,0.1946034,-0.0992906,-0.0855784,0.2139121,0.1348219,0.145317,0.0530524,0.0367116,0.1284493,0.2583072,0.1523706
0.049,-0.0623387,1.079933,0.0184638,0.123168,1.143062,-0.0161791,0.2357047,1.187179,-0.1095781,0.2742552,1.267856,-0.1829878,0.1342741,1.428665,-0.1366361,0.020342,1.673904,-0.0220262,-0.1126939,1.437827,-0.1065967,-0.1499666,0.5307901,0.8046498,-0.1157561,0.2669903,0.22545,-0.3640857,0.2631426,0.335661,0.6933234,0.189377,-0.0945516,-0.0867254,0.2121926,0.136032,0.1452908,0.0523814,0.0362003,0.1321828,0.256332,0.1530164
0.071,-0.0629449,1.079252,0.0174071,0.1230069,1.142557,-0.015418,0.2360022,1.187077,-0.1083583,0.2742866,1.267115,-0.1818385,0.1345628,1.428564,-0.1358157,0.0203761,1.673545,-0.0214584,-0.1123283,1.437911,-0.1064094,-0.1589073,0.5283571,0.8057591,-0.115333,0.2654915,0.2241656,-0.3682402,0.2652421,0.3341537,0.6909534,0.1888212,-0.0953685,-0.0848062,0.2074222,0.1344009,0.1449398,0.0508159,0.0345904,0.1302661,0.2593416,0.1527606
0.094,-0.0629449,1.079252,0.0174071,0.1228758,1.142613,-0.0146297,0.2357812,1.186659,-0.1070735,0.2749283,1.266834,-0.1806588,0.1349074,1.428435,-0.1350421,0.0204458,1.67339,-0.0210368,-0.1121832,1.437961,-0.106354,-0.1589073,0.5283571,0.8057591,-0.1140431,0.2641415,0.2208001,-0.3641068,0.2668558,0.3333435,0.6925793,0.1851431,-0.0940138,-0.085821,0.2040367,0.1346802,0.1454197,0.0488429,0.033569,0.1292468,0.2609463,0.1531119
0.115,-0.0629449,1.079252,0.0174071,0.1224428,1.142286,-0.0137621,0.2356055,1.186921,-0.1058301,0.2746701,1.266494,-0.1791828,0.1348633,1.428187,-0.1341045,0.0204191,1.673209,-0.0205259,-0.1120349,1.437736,-0.106613,-0.1589073,0.5283571,0.8057591,-0.1138028,0.2641167,0.2226946,-0.3665275,0.265157,0.3395952,0.6895097,0.1914134,-0.0968077,-0.086465,0.2036902,0.1345193,0.1453353,0.0471397,0.033778,0.1293861,0.2621251,0.154388
0.138,-0.0629449,1.079252,0.0174071,0.1217901,1.142022,-0.0130454,0.2358803,1.18647,-0.1044366,0.2756869,1.266795,-0.1775505,0.1354086,1.428199,-0.1332672,0.0205011,1.673284,-0.0200609,-0.1119674,1.437551,-0.1069157,-0.1589073,0.5283571,0.8057591,-0.1179257,0.2619778,0.2224762,-0.3686528,0.2681034,0.3341845,0.6938102,0.18158,-0.0881005,-0.085629,0.1980452,0.1344269,0.1462535,0.0449136,0.0346105,0.1295656,0.2634097,0.1548696
0.162,-0.0648722,1.079752,0.0197444,0.1209136,1.141741,-0.0114692,0.2356137,1.186086,-0.1020118,0.2761438,1.266118,-0.1746791,0.1356722,1.427736,-0.1311825,0.0203287,1.672762,-0.019163,-0.1118212,1.437498,-0.1073486,0.1572955,-0.5199704,-0.811635,-0.1199897,0.2606974,0.2176175,-0.3694001,0.2690833,0.3348039,0.6933843,0.1800318,-0.0865967,-0.0873691,0.1970471,0.1344535,0.1451131,0.0425461,0.0343827,0.1280367,0.2701773,0.1550808
0.182,-0.0664922,1.078023,0.0179218,0.1202811,1.141507,-0.0102688,0.2355852,1.186006,-0.0998839,0.2754395,1.265686,-0.1726728,0.1357031,1.427967,-0.130363,0.0203772,1.672204,-0.0185859,-0.1115402,1.437437,-0.1081416,0.1658875,-0.5450308,-0.7909228,-0.1206708,0.2582786,0.2177332,-0.3670224,0.2768851,0.3324062,0.6896977,0.1871376,-0.094018,-0.0846568,0.1911965,0.1315404,0.1445529,0.0406271,0.0347211,0.1292887,0.2690975,0.1556005
0.204,-0.0672396,1.078846,0.0181309,0.1198858,1.141466,-0.0088458,0.2357095,1.185754,-0.0981124,0.2759575,1.265699,-0.1702702,0.1360757,1.427615,-0.1291407,0.0203161,1.672288,-0.0180396,-0.1113689,1.437436,-0.1086563,0.1681855,-0.5287784,-0.8051131,-0.1174253,0.2515898,0.2171838,-0.371615,0.2778796,0.3315876,0.6911442,0.183246,-0.0943471,-0.0845188,0.1872502,0.1324484,0.1463558,0.0384149,0.0345923,0.1282076,0.2722223,0.1566789
