time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.1383764,1.093342,-0.285746,0.0334612,1.062219,-0.2048699,0.1859648,1.100985,-0.2157406,0.2701919,1.199749,-0.255559,0.1241637,1.315318,-0.2803741,-0.0010361,1.6116,-0.2790659,-0.096638,1.318169,-0.3904885,-0.2504753,0.6088806,0.7244135,0.0302462,-0.0562395,-0.0256449,-0.5087847,0.4514209,0.3404433,-0.6230245,-0.1615559,0.0863726,-0.0634142,-0.0196946,-0.0117312,-0.2165138,-0.1369799,-0.0182975,-0.0086351,-0.672434,-0.0757168
0.026,-0.1326175,1.092961,-0.2973157,0.033807,1.056405,-0.2083153,0.1894187,1.099154,-0.2202324,0.2727504,1.198659,-0.2622845,0.1255759,1.316071,-0.2829031,0.0001859,1.611632,-0.276795,-0.0979257,1.31821,-0.3877028,-0.2738011,0.591772,0.7194332,-0.0100548,-0.0247541,-0.0255596,-0.5046888,0.4413042,0.3479769,-0.6213553,-0.1729728,0.0955978,-0.0589812,0.0038851,-0.0114932,-0.2154135,-0.1244915,-0.0152914,-0.0057607,-0.6633257,-0.0766479
0.051,-0.1323554,1.09078,-0.2948685,0.0359826,1.056434,-0.2087755,0.1906966,1.099372,-0.2213763,0.2746781,1.200154,-0.2644934,0.1261799,1.31625,-0.2842597,0.0004744,1.611935,-0.2761916,-0.098688,1.318027,-0.386792,-0.2680391,0.591382,0.7263102,-0.0012195,-0.0365528,-0.0336265,-0.5060928,0.4394054,0.3500056,-0.6223519,-0.1739163,0.0948426,-0.0606736,0.0147639,-0.0111413,-0.2135971,-0.1190734,-0.0135641,-0.0075525,-0.6539356,-0.0771614
0.071,-0.1331268,1.088193,-0.2898152,0.0382712,1.056917,-0.208233,0.1921068,1.099927,-0.2222659,0.2747789,1.200372,-0.2658791,0.1267561,1.316507,-0.2857371,0.0008936,1.611582,-0.2754004,-0.0988855,1.318287,-0.3855309,-0.2488193,0.5909497,0.7395523,0.012379,-0.0444056,-0.0414859,-0.5068613,0.4385509,0.3469752,-0.6141112,-0.183553,0.1057131,-0.0598747,0.0237541,-0.0124916,-0.2142885,-0.1143,-0.0117674,-0.0057512,-0.652149,-0.0757496
0.095,-0.1334358,1.085022,-0.2857273,0.0404805,1.05755,-0.2076086,0.1936029,1.100713,-0.2235879,0.2765913,1.202303,-0.2673486,0.127282,1.316815,-0.2866652,0.0014135,1.611646,-0.2750847,-0.0992021,1.318145,-0.3847266,-0.2337848,0.5930107,0.748565,0.0211298,-0.0466745,-0.0498212,-0.510545,0.432432,0.3476465,-0.6185771,-0.1780796,0.0953871,-0.0624409,0.0336054,-0.0098208,-0.2123554,-0.1089837,-0.0098788,-0.0062792,-0.6460972,-0.0767876
0.116,-0.1319414,1.082236,-0.2841075,0.0430158,1.057426,-0.2082875,0.195839,1.101708,-0.2251863,0.2776732,1.203633,-0.2691574,0.1281037,1.317569,-0.2882323,0.0023814,1.611532,-0.2746371,-0.0997434,1.318061,-0.3836959,-0.2346043,0.5949203,0.7497275,0.0247258,-0.0537809,-0.0549329,-0.508573,0.4322487,0.3425521,-0.6206979,-0.1793592,0.0926389,-0.0600619,0.0370853,-0.0092149,-0.2111699,-0.1032401,-0.0081896,-0.0071082,-0.6404731,-0.0772794
0.139,-0.1302585,1.081067,-0.2856305,0.0445122,1.056541,-0.2094929,0.1968027,1.102099,-0.2265625,0.2775009,1.203752,-0.2705301,0.1287328,1.318169,-0.2893927,0.0029256,1.61149,-0.2744974,-0.1000047,1.318015,-0.3831226,-0.2390528,0.5960202,0.7468104,0.0200211,-0.0549311,-0.054597,-0.509265,0.4288989,0.3450775,-0.6177037,-0.1877782,0.0975183,-0.0543006,0.0339029,-0.0054153,-0.2105245,-0.097726,-0.0073441,-0.0080552,-0.6385434,-0.076628
0.161,-0.1289239,1.08164,-0.2871162,0.0456667,1.055623,-0.2110566,0.1980967,1.102043,-0.2281688,0.2783347,1.204279,-0.2716715,0.1287994,1.318269,-0.2898829,0.003428,1.61125,-0.2744441,-0.1005018,1.318183,-0.3828614,-0.2392798,0.5794908,0.7586671,0.014335,-0.0544544,-0.0571811,-0.5106444,0.4267365,0.3445806,-0.6198371,-0.1871469,0.0969197,-0.054328,0.0381875,-0.0040769,-0.2102516,-0.0940334,-0.0075972,-0.0068742,-0.636369,-0.0765965
0.182,-0.1273575,1.081331,-0.2891715,0.0463988,1.054837,-0.212213,0.1989589,1.101914,-0.229604,0.2788146,1.204695,-0.2733306,0.1287466,1.317857,-0.290467,0.0040317,1.611244,-0.2745293,-0.1006983,1.317914,-0.3823899,-0.2403332,0.5743677,0.7611647,0.0030061,-0.0491629,-0.0592236,-0.511665,0.4244289,0.3444111,-0.6220574,-0.1899093,0.0946464,-0.0593636,0.0422319,-0.0037066,-0.2091506,-0.0901449,-0.0084822,-0.0073502,-0.6353433,-0.0751786
0.205,-0.126253,1.080392,-0.2919264,0.046904,1.053717,-0.2133667,0.1993812,1.101449,-0.2304838,0.2788226,1.204781,-0.274899,0.128545,1.318203,-0.2909213,0.004451,1.611365,-0.2746177,-0.1009178,1.317883,-0.3821348,-0.2500405,0.5735301,0.7573363,0.0005994,-0.0502752,-0.0593799,-0.505882,0.422343,0.3455797,-0.6224206,-0.1938443,0.0978534,-0.0583692,0.0471821,-0.0063824,-0.2077475,-0.0862271,-0.0076214,-0.006661,-0.6350316,-0.0748038
