id,trueTarget.X,trueTarget.Y,trueTarget.Z
53,-1,0.49,1.5
78,-1,0.49,1.5
99,-1,0.49,1.5
100,-1,0.49,1.5
110,-1,0.49,1.5
40,-1,0.49,2.5
69,-1,0.49,2.5
70,-1,0.49,2.5
117,-1,0.49,2.5
123,-1,0.49,2.5
16,-1,0.49,3.5
59,-1,0.49,3.5
67,-1,0.49,3.5
76,-1,0.49,3.5
126,-1,0.49,3.5
2,-1,1.49,1.5
49,-1,1.49,1.5
65,-1,1.49,1.5
94,-1,1.49,1.5
104,-1,1.49,1.5
48,-1,1.49,2.5
61,-1,1.49,2.5
79,-1,1.49,2.5
83,-1,1.49,2.5
127,-1,1.49,2.5
0,-1,1.49,3.5
21,-1,1.49,3.5
26,-1,1.49,3.5
54,-1,1.49,3.5
106,-1,1.49,3.5
20,-1,2.49,1.5
22,-1,2.49,1.5
97,-1,2.49,1.5
119,-1,2.49,1.5
130,-1,2.49,1.5
27,-1,2.49,2.5
36,-1,2.49,2.5
45,-1,2.49,2.5
66,-1,2.49,2.5
120,-1,2.49,2.5
15,-1,2.49,3.5
50,-1,2.49,3.5
52,-1,2.49,3.5
108,-1,2.49,3.5
113,-1,2.49,3.5
18,0,0.49,1.5
23,0,0.49,1.5
33,0,0.49,1.5
44,0,0.49,1.5
47,0,0.49,1.5
56,0,0.49,2.5
81,0,0.49,2.5
84,0,0.49,2.5
105,0,0.49,2.5
107,0,0.49,2.5
5,0,0.49,3.5
37,0,0.49,3.5
73,0,0.49,3.5
89,0,0.49,3.5
109,0,0.49,3.5
28,0,1.49,1.5
31,0,1.49,1.5
74,0,1.49,1.5
75,0,1.49,1.5
122,0,1.49,1.5
7,0,1.49,2.5
41,0,1.49,2.5
96,0,1.49,2.5
101,0,1.49,2.5
128,0,1.49,2.5
9,0,1.49,3.5
60,0,1.49,3.5
72,0,1.49,3.5
114,0,1.49,3.5
124,0,1.49,3.5
8,0,2.49,1.5
68,0,2.49,1.5
85,0,2.49,1.5
131,0,2.49,1.5
132,0,2.49,1.5
24,0,2.49,2.5
77,0,2.49,2.5
80,0,2.49,2.5
91,0,2.49,2.5
134,0,2.49,2.5
43,0,2.49,3.5
58,0,2.49,3.5
116,0,2.49,3.5
121,0,2.49,3.5
125,0,2.49,3.5
30,1,0.49,1.5
34,1,0.49,1.5
46,1,0.49,1.5
55,1,0.49,1.5
92,1,0.49,1.5
4,1,0.49,2.5
10,1,0.49,2.5
17,1,0.49,2.5
63,1,0.49,2.5
71,1,0.49,2.5
3,1,0.49,3.5
12,1,0.49,3.5
35,1,0.49,3.5
57,1,0.49,3.5
90,1,0.49,3.5
42,1,1.49,1.5
51,1,1.49,1.5
64,1,1.49,1.5
98,1,1.49,1.5
111,1,1.49,1.5
62,1,1.49,2.5
103,1,1.49,2.5
115,1,1.49,2.5
129,1,1.49,2.5
133,1,1.49,2.5
1,1,1.49,3.5
11,1,1.49,3.5
25,1,1.49,3.5
29,1,1.49,3.5
82,1,1.49,3.5
14,1,2.49,1.5
19,1,2.49,1.5
38,1,2.49,1.5
112,1,2.49,1.5
118,1,2.49,1.5
6,1,2.49,2.5
32,1,2.49,2.5
39,1,2.49,2.5
93,1,2.49,2.5
95,1,2.49,2.5
13,1,2.49,3.5
86,1,2.49,3.5
87,1,2.49,3.5
88,1,2.49,3.5
102,1,2.49,3.5
