time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.0718773,1.073665,-0.2144039,0.0936707,1.09582,-0.1441677,0.2290311,1.14471,-0.1971496,0.2946878,1.235585,-0.2769257,0.1305701,1.323831,-0.3325863,0.0014884,1.586698,-0.3055484,-0.0946617,1.305985,-0.4200222,-0.4290336,0.6427074,0.6033893,0.1477639,-0.2144427,-0.1179874,-0.4055934,0.4126768,0.270257,-0.5056848,-0.222846,0.0961574,-0.0609878,-0.0932192,0.0228801,-0.0638253,-0.1024723,-0.0015009,-0.0229289,-0.6330264,-0.0535592
0.022,-0.064375,1.04991,-0.2433492,0.100921,1.072148,-0.1725667,0.234798,1.126654,-0.2239116,0.2985079,1.225781,-0.2956208,0.1328564,1.322504,-0.3321879,0.0024503,1.587,-0.3009807,-0.0952704,1.306807,-0.4136691,-0.429011,0.6236768,0.6221352,0.1067949,-0.208664,-0.1370842,-0.4423426,0.3859516,0.2924249,-0.5451707,-0.2370109,0.0873595,-0.0558144,-0.0663724,0.0215937,-0.0665993,-0.0945392,0.0009434,-0.0181628,-0.6207385,-0.0555826
0.044,-0.0626617,1.041705,-0.255965,0.102788,1.064749,-0.1838006,0.2367205,1.120937,-0.2356447,0.2996998,1.222098,-0.3042771,0.1341035,1.321783,-0.3319162,0.0033083,1.586981,-0.2988727,-0.0953324,1.306706,-0.4104315,-0.4272783,0.6290883,0.6189359,0.0996207,-0.1983601,-0.1399602,-0.4495846,0.3781308,0.3015947,-0.5645848,-0.2440265,0.0892455,-0.0537537,-0.0519224,0.0231322,-0.0665754,-0.090665,0.0016967,-0.0206138,-0.614166,-0.0571265
0.066,-0.0606443,1.0364917,-0.267268,0.1041714,1.060047,-0.193937,0.2380742,1.115957,-0.2466914,0.2999607,1.218628,-0.3123711,0.1352544,1.321327,-0.3321335,0.0042958,1.58693,-0.296741,-0.0951232,1.306623,-0.4075312,-0.4242842,0.6364508,0.6131155,0.1073039,-0.1908371,-0.1422278,-0.4574304,0.3685642,0.3103423,-0.5735748,-0.2557702,0.0998755,-0.0547938,-0.0393767,0.0220976,-0.066645,-0.0869692,0.0029855,-0.0181394,-0.6084229,-0.058515
0.089,-0.0590686,1.0323677,-0.2778684,0.1054511,1.057473,-0.2032244,0.2390547,1.11277,-0.2568581,0.3015267,1.21723,-0.3203974,0.136374,1.321238,-0.3324844,0.0053869,1.587055,-0.2948409,-0.0950484,1.306429,-0.4051282,-0.4312211,0.631493,0.6140156,0.1183967,-0.1895721,-0.1452536,-0.4697676,0.3572431,0.3183377,-0.5894265,-0.2565072,0.0956415,-0.0536932,-0.0277574,0.0213002,-0.0648609,-0.0828864,0.0033712,-0.0206722,-0.5990607,-0.0603836
0.111,-0.0570834,1.030078,-0.2903888,0.1068388,1.054113,-0.2150648,0.240218,1.109,-0.2700143,0.3020112,1.214919,-0.3307569,0.1385721,1.320665,-0.3333515,0.0070623,1.586445,-0.2920513,-0.0945872,1.306408,-0.4010554,-0.4302956,0.6329224,0.6103013,0.1194556,-0.1946501,-0.1423426,-0.4717661,0.3501709,0.3291281,-0.6020021,-0.2687319,0.105413,-0.051976,-0.0132139,0.0228935,-0.0638532,-0.0758493,0.0045003,-0.018436,-0.5900573,-0.0606807
0.133,-0.0572978,1.0310634,-0.2961483,0.1073953,1.051828,-0.2211522,0.2412861,1.106518,-0.2773156,0.3030596,1.214165,-0.3373767,0.1399584,1.32076,-0.3336603,0.0083241,1.585937,-0.2903225,-0.0942607,1.306311,-0.3987162,-0.4229999,0.6293309,0.6182924,0.1090179,-0.1939896,-0.1394787,-0.4777708,0.3364982,0.3390675,-0.6134767,-0.2679528,0.1045622,-0.0509147,-0.0022263,0.0235185,-0.0619341,-0.0707579,0.0058187,-0.0190118,-0.5837957,-0.0606192
0.156,-0.057335,1.0313642,-0.3005496,0.1081096,1.049844,-0.2259818,0.2420765,1.105399,-0.2835398,0.3031181,1.213245,-0.3430717,0.1400887,1.320699,-0.3333471,0.0095435,1.585502,-0.288889,-0.0941175,1.306393,-0.3964259,-0.4156927,0.6317315,0.6193955,0.0992821,-0.1935618,-0.1376143,-0.4748797,0.3331609,0.3450957,-0.6184955,-0.2752699,0.1115022,-0.0558766,0.0163792,0.0227259,-0.05907,-0.0655253,0.0072143,-0.0192132,-0.5783178,-0.0617898
0.177,-0.0579356,1.0337423,-0.3027818,0.109012,1.048314,-0.2297793,0.2429054,1.103871,-0.2885222,0.3026562,1.211955,-0.3479429,0.1412086,1.320506,-0.3338001,0.0106494,1.585161,-0.2872931,-0.0936203,1.305983,-0.3945671,-0.4002119,0.6301551,0.6296303,0.0865952,-0.1924363,-0.1345381,-0.4777622,0.3217124,0.3571609,-0.6174466,-0.2894368,0.1257716,-0.0567093,0.0247558,0.0233337,-0.0578145,-0.0612284,0.0083491,-0.020997,-0.5734292,-0.0618879
0.199,-0.0591186,1.0364101,-0.303086,0.1105956,1.04628,-0.2337931,0.2443494,1.102626,-0.2940681,0.3030205,1.211104,-0.3539195,0.1435149,1.320864,-0.335435,0.0122999,1.584425,-0.28538,-0.0931046,1.306148,-0.391698,-0.3788356,0.6278008,0.6462318,0.0660384,-0.1928397,-0.1317295,-0.4790007,0.3089326,0.3711398,-0.6173025,-0.3019189,0.137367,-0.0531417,0.0285008,0.0237021,-0.0542484,-0.0538773,0.0093298,-0.018316,-0.5685715,-0.0607483
