time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.0939616,1.140646,0.0242082,0.1076394,1.183743,0.0558102,0.2121115,1.235971,-0.067448,0.2465655,1.370238,-0.1914691,0.0826768,1.511678,-0.1082165,-0.0541783,1.774316,0.0110417,-0.1810087,1.513382,-0.0735578,-0.2872922,0.7694319,0.5692948,0.1088883,-0.2394287,-0.2120229,0.3305795,-0.1771425,-0.4463995,0.4868337,0.4908224,-0.3062321,-0.1085101,0.232767,0.1332275,0.1649834,-0.0261036,0.0011742,0.1644384,0.2572784,0.1144471
0.022,-0.0928508,1.140198,0.024316,0.1088294,1.183499,0.056222,0.2134191,1.236019,-0.0671196,0.2482377,1.370822,-0.1909393,0.0836018,1.511579,-0.1075235,-0.0538629,1.773083,0.0112538,-0.1804018,1.513627,-0.0735578,-0.2878582,0.7680998,0.570707,0.1085742,-0.2383603,-0.2127137,0.3320676,-0.1806153,-0.4450122,0.489327,0.4880689,-0.3027739,-0.111147,0.2339938,0.1336019,0.1595867,-0.0228154,0.0038958,0.1622908,0.2562968,0.1148038
0.043,-0.0920533,1.139929,0.0239829,0.1094304,1.183644,0.056486,0.2140784,1.236021,-0.0667648,0.248647,1.370799,-0.1898233,0.0840152,1.51181,-0.1077241,-0.0533921,1.772148,0.0114803,-0.1797495,1.513321,-0.0738309,-0.289881,0.767538,0.5704998,0.1092532,-0.2369562,-0.2136187,0.3328847,-0.1809727,-0.4430112,0.4854981,0.4909294,-0.3064085,-0.107469,0.2337286,0.1352421,0.1552652,-0.020437,0.0044453,0.1620557,0.2604089,0.1141134
0.065,-0.0914147,1.140064,0.0236806,0.1099686,1.183564,0.0567199,0.2144154,1.236195,-0.0662462,0.249152,1.371385,-0.1897646,0.0847957,1.511897,-0.1070921,-0.052245,1.772428,0.011816,-0.1793754,1.51315,-0.0739359,-0.2919445,0.7628548,0.5756657,0.1095464,-0.2366301,-0.2125552,0.3309172,-0.1774988,-0.4457251,0.490553,0.4900382,-0.3066751,-0.1081963,0.2313154,0.1342783,0.1575029,-0.0189743,0.0042656,0.1619139,0.2606653,0.1155118
0.09,-0.0904831,1.139394,0.0233521,0.1105288,1.18364,0.0569019,0.2151438,1.236306,-0.0656968,0.2496281,1.370767,-0.1888216,0.0854006,1.511804,-0.1066684,-0.0512177,1.773714,0.0121242,-0.1792215,1.513167,-0.0739074,-0.295555,0.7633202,0.5732025,0.1085556,-0.2356828,-0.2140812,0.332348,-0.1769533,-0.4483877,0.4813875,0.4966934,-0.3100129,-0.1099849,0.2316521,0.1351995,0.1629385,-0.0178982,0.0044023,0.1617211,0.2581944,0.1177564
0.11,-0.0901078,1.139431,0.0233677,0.1110335,1.183566,0.0572124,0.2158027,1.236616,-0.0656651,0.2510489,1.371048,-0.1891519,0.0860063,1.512048,-0.1067562,-0.0502841,1.772903,0.0121896,-0.1783052,1.513189,-0.0740905,-0.2957411,0.7623413,0.5743554,0.1084701,-0.2341879,-0.2129034,0.3337035,-0.179844,-0.4465103,0.4889745,0.4880379,-0.3011552,-0.1047293,0.2281048,0.133553,0.1583616,-0.0144748,0.0048558,0.1613835,0.2644868,0.1193686
0.132,-0.0890316,1.139438,0.0224241,0.1118464,1.183521,0.0575445,0.2170303,1.236905,-0.0650082,0.2517052,1.371151,-0.1875889,0.0866268,1.512,-0.1065272,-0.0485397,1.774107,0.0128989,-0.1779479,1.51315,-0.0741617,-0.2980925,0.7628479,0.5729472,0.1092665,-0.2341083,-0.2138523,0.3373135,-0.1810053,-0.445025,0.4867727,0.4931675,-0.3079924,-0.1026116,0.2268158,0.1324239,0.1632051,-0.0132492,0.0039722,0.1581104,0.2599292,0.1193159
0.154,-0.0883577,1.139137,0.0221598,0.1121088,1.183463,0.0575712,0.2175837,1.236909,-0.064503,0.2519535,1.371418,-0.1873671,0.0877065,1.511176,-0.1054656,-0.0474406,1.773686,0.0130531,-0.1776122,1.513266,-0.0742698,-0.2987647,0.763927,0.5711768,0.1103859,-0.2346143,-0.2144471,0.3379315,-0.1776837,-0.4485895,0.4863093,0.495584,-0.3088503,-0.117242,0.231084,0.1357807,0.1612092,-0.010513,0.0042603,0.1563815,0.258811,0.1198452
0.176,-0.0881752,1.13893,0.0222182,0.1126308,1.183567,0.0578268,0.2180928,1.236981,-0.0638731,0.2528167,1.371411,-0.1870649,0.0880015,1.511721,-0.106079,-0.0466375,1.772548,0.0130419,-0.1771069,1.513372,-0.0744529,-0.2978693,0.7633315,0.5723251,0.1092961,-0.2321676,-0.2142092,0.3350417,-0.175113,-0.452356,0.487049,0.4919538,-0.3061709,-0.1052634,0.2262787,0.1337813,0.1552098,-0.0064824,0.0048072,0.1545209,0.2602992,0.1202665
0.199,-0.087841,1.139059,0.0217537,0.112913,1.183393,0.0579826,0.2186829,1.237217,-0.0636282,0.254934,1.371536,-0.1872191,0.0885781,1.511887,-0.1059345,-0.045772,1.772014,0.0132515,-0.1763782,1.513376,-0.0747033,-0.298953,0.7633899,0.5717324,0.1079304,-0.2302144,-0.2142931,0.3373052,-0.1801285,-0.4485851,0.4920151,0.4825218,-0.2936611,-0.1020652,0.2245968,0.1316181,0.1526433,-0.0041183,0.0042469,0.153406,0.2623811,0.1201654
0.223,-0.0871808,1.138939,0.0208895,0.1132478,1.182485,0.0580662,0.219378,1.236824,-0.0631228,0.2543855,1.371121,-0.1849609,0.0879271,1.513311,-0.1090448,-0.0440395,1.773312,0.013467,-0.1756314,1.513209,-0.0751824,-0.3002151,0.765425,0.5684971,0.1060795,-0.2293658,-0.2121834,0.3397002,-0.1801052,-0.447984,0.4817281,0.500466,-0.3101459,-0.0707544,0.2299673,0.1297023,0.1594547,-0.0053874,0.0026404,0.1545541,0.2628016,0.1212316
