time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.0736408,1.135195,0.0397868,0.1190222,1.207581,0.0512953,0.2154305,1.245551,-0.0838797,0.2433724,1.368043,-0.2098228,0.0905776,1.513643,-0.112468,-0.0066648,1.772409,0.0170897,-0.169098,1.520623,-0.0502405,-0.3187543,0.7707838,0.5345622,0.1797008,-0.261198,-0.2460071,0.2869118,-0.1694172,-0.4499179,0.4824793,0.5109489,-0.3306414,-0.1027742,0.2763591,0.1322922,0.1784232,0.1131027,-0.0386384,0.1871352,0.1997617,0.1136919
0.022,-0.0737796,1.13521,0.0395082,0.1190541,1.207273,0.052269,0.2163679,1.246332,-0.0817084,0.2451975,1.369151,-0.2075083,0.0904908,1.513801,-0.1118199,-0.0064303,1.771627,0.0172476,-0.1693813,1.520477,-0.050668,-0.3201224,0.7736527,0.5304355,0.1852052,-0.2596924,-0.2469884,0.2882449,-0.1705494,-0.4505021,0.4840247,0.5103916,-0.3264312,-0.102381,0.2734596,0.1333191,0.1779336,0.1163626,-0.038323,0.1875278,0.2041125,0.1119669
0.045,-0.0739526,1.135082,0.0395179,0.1188623,1.207509,0.0528271,0.2167284,1.2462,-0.0807538,0.2460264,1.369602,-0.2057923,0.0905287,1.513962,-0.1113956,-0.0061678,1.771764,0.0173637,-0.1693879,1.520378,-0.0509691,-0.3196845,0.7740904,0.530237,0.1821692,-0.2558504,-0.2469236,0.2890191,-0.1709219,-0.4458012,0.4835682,0.5116979,-0.3225839,-0.1020991,0.2714836,0.1341572,0.1806777,0.1170029,-0.0392658,0.1867071,0.2061274,0.1116141
0.067,-0.0743755,1.135325,0.0399187,0.1185791,1.207302,0.0535087,0.217197,1.24627,-0.0796602,0.2470597,1.369416,-0.2050047,0.0898866,1.514487,-0.1113488,-0.0059326,1.771574,0.0174403,-0.1697308,1.520246,-0.0512015,-0.3172242,0.7716686,0.5347417,0.1833515,-0.2528128,-0.2455834,0.2906773,-0.1751445,-0.4410926,0.4806539,0.5078191,-0.3177166,-0.0963865,0.2680315,0.1305058,0.1820315,0.1178933,-0.0391517,0.1865863,0.2088711,0.1115484
0.09,-0.0751118,1.135738,0.0398663,0.118208,1.207374,0.0541324,0.217499,1.246669,-0.0785699,0.247176,1.369934,-0.2039308,0.0901964,1.513856,-0.1104473,-0.0049858,1.771655,0.0175563,-0.1699462,1.520079,-0.0514368,-0.3181675,0.7723305,0.5339496,0.1851111,-0.2505545,-0.2463156,0.2931898,-0.1774734,-0.4389853,0.4845321,0.5072962,-0.3188288,-0.1033627,0.2679484,0.1336323,0.184995,0.1157841,-0.0403339,0.1872729,0.2098074,0.1106127
0.113,-0.0754263,1.135357,0.0400699,0.1175665,1.207474,0.0551732,0.217282,1.247382,-0.0768185,0.2480686,1.370569,-0.2020402,0.0903881,1.513028,-0.1089702,-0.0056389,1.768506,0.0174016,-0.169889,1.520124,-0.0521786,-0.3168644,0.7736551,0.5326297,0.1847731,-0.2465862,-0.2466994,0.2936612,-0.1771292,-0.4452001,0.4876712,0.5026489,-0.3173726,-0.117375,0.2718163,0.1353101,0.1736487,0.1245898,-0.0366961,0.1862285,0.2149427,0.1105145
0.142,-0.0760349,1.135141,0.0399648,0.1171151,1.207429,0.0564132,0.2173481,1.248903,-0.0746836,0.2486317,1.370161,-0.2002241,0.0901355,1.513814,-0.1090901,-0.0046162,1.770939,0.0176335,-0.17035,1.519962,-0.0525582,-0.3175311,0.7756654,0.5301678,0.1883955,-0.2434808,-0.2484251,0.2851251,-0.186441,-0.4484134,0.4822767,0.5046362,-0.316792,-0.1068304,0.2638361,0.1317032,0.1884534,0.1219517,-0.0405877,0.1860645,0.2168316,0.1107247
0.164,-0.0763577,1.134578,0.0400348,0.1164916,1.207221,0.0570235,0.2171601,1.24904,-0.0735415,0.2486915,1.370279,-0.1991624,0.0902762,1.514005,-0.1090472,-0.0046082,1.770351,0.0174834,-0.1703905,1.519977,-0.0531098,-0.3198579,0.7743596,0.5304107,0.1847573,-0.2420473,-0.2471243,0.2842,-0.1888082,-0.4493807,0.4856188,0.5033015,-0.3128308,-0.103303,0.260675,0.1334123,0.1857789,0.1240531,-0.0394264,0.1848944,0.2179613,0.1101487
0.186,-0.0763327,1.134253,0.039258,0.1161429,1.206773,0.0578418,0.2171268,1.24664,-0.0730134,0.2489932,1.37046,-0.1985096,0.0903617,1.513866,-0.1086274,-0.0045826,1.769255,0.0173536,-0.1707537,1.519873,-0.0533459,-0.3240454,0.772725,0.5313278,0.1850746,-0.2409477,-0.2453802,0.2953798,-0.1802447,-0.4408101,0.4863157,0.5000093,-0.3136102,-0.1057851,0.2606937,0.1340229,0.1813611,0.1266772,-0.037998,0.1842196,0.2184258,0.1107073
0.208,-0.076311,1.134036,0.039204,0.1157689,1.20669,0.0583663,0.2171926,1.246361,-0.0723492,0.2496257,1.370282,-0.197791,0.0903278,1.513967,-0.1082967,-0.0045235,1.768987,0.0173295,-0.1707399,1.519753,-0.0536161,-0.3264161,0.7730839,0.5298743,0.1857186,-0.2407725,-0.2465396,0.295456,-0.1818645,-0.4405219,0.4870223,0.4982262,-0.30989,-0.1056031,0.2586881,0.1331918,0.180104,0.128627,-0.0379926,0.1839371,0.2197182,0.1108026
