id,trueTarget.X,trueTarget.Y,trueTarget.Z
4,-1,0.49,1.5
8,-1,0.49,1.5
17,-1,0.49,1.5
49,-1,0.49,1.5
120,-1,0.49,1.5
39,-1,0.49,2.5
50,-1,0.49,2.5
61,-1,0.49,2.5
63,-1,0.49,2.5
96,-1,0.49,2.5
60,-1,0.49,3.5
82,-1,0.49,3.5
111,-1,0.49,3.5
112,-1,0.49,3.5
122,-1,0.49,3.5
10,-1,1.49,1.5
12,-1,1.49,1.5
77,-1,1.49,1.5
93,-1,1.49,1.5
125,-1,1.49,1.5
30,-1,1.49,2.5
55,-1,1.49,2.5
79,-1,1.49,2.5
91,-1,1.49,2.5
104,-1,1.49,2.5
0,-1,1.49,3.5
40,-1,1.49,3.5
65,-1,1.49,3.5
127,-1,1.49,3.5
130,-1,1.49,3.5
35,-1,2.49,1.5
43,-1,2.49,1.5
48,-1,2.49,1.5
83,-1,2.49,1.5
113,-1,2.49,1.5
13,-1,2.49,2.5
47,-1,2.49,2.5
69,-1,2.49,2.5
110,-1,2.49,2.5
115,-1,2.49,2.5
41,-1,2.49,3.5
64,-1,2.49,3.5
89,-1,2.49,3.5
116,-1,2.49,3.5
121,-1,2.49,3.5
11,0,0.49,1.5
24,0,0.49,1.5
84,0,0.49,1.5
101,0,0.49,1.5
133,0,0.49,1.5
38,0,0.49,2.5
62,0,0.49,2.5
97,0,0.49,2.5
100,0,0.49,2.5
102,0,0.49,2.5
3,0,0.49,3.5
18,0,0.49,3.5
80,0,0.49,3.5
107,0,0.49,3.5
108,0,0.49,3.5
6,0,1.49,1.5
34,0,1.49,1.5
44,0,1.49,1.5
88,0,1.49,1.5
132,0,1.49,1.5
22,0,1.49,2.5
33,0,1.49,2.5
42,0,1.49,2.5
53,0,1.49,2.5
68,0,1.49,2.5
27,0,1.49,3.5
29,0,1.49,3.5
95,0,1.49,3.5
99,0,1.49,3.5
119,0,1.49,3.5
5,0,2.49,1.5
21,0,2.49,1.5
54,0,2.49,1.5
72,0,2.49,1.5
128,0,2.49,1.5
37,0,2.49,2.5
70,0,2.49,2.5
78,0,2.49,2.5
92,0,2.49,2.5
106,0,2.49,2.5
9,0,2.49,3.5
15,0,2.49,3.5
46,0,2.49,3.5
67,0,2.49,3.5
134,0,2.49,3.5
16,1,0.49,1.5
36,1,0.49,1.5
56,1,0.49,1.5
57,1,0.49,1.5
131,1,0.49,1.5
23,1,0.49,2.5
32,1,0.49,2.5
86,1,0.49,2.5
123,1,0.49,2.5
126,1,0.49,2.5
7,1,0.49,3.5
51,1,0.49,3.5
58,1,0.49,3.5
73,1,0.49,3.5
87,1,0.49,3.5
14,1,1.49,1.5
19,1,1.49,1.5
45,1,1.49,1.5
71,1,1.49,1.5
124,1,1.49,1.5
1,1,1.49,2.5
28,1,1.49,2.5
74,1,1.49,2.5
114,1,1.49,2.5
117,1,1.49,2.5
52,1,1.49,3.5
66,1,1.49,3.5
94,1,1.49,3.5
98,1,1.49,3.5
118,1,1.49,3.5
2,1,2.49,1.5
75,1,2.49,1.5
76,1,2.49,1.5
90,1,2.49,1.5
103,1,2.49,1.5
20,1,2.49,2.5
59,1,2.49,2.5
81,1,2.49,2.5
105,1,2.49,2.5
129,1,2.49,2.5
25,1,2.49,3.5
26,1,2.49,3.5
31,1,2.49,3.5
85,1,2.49,3.5
109,1,2.49,3.5
