time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.0862256,1.087569,-0.2304282,0.1060916,1.120079,-0.2516941,0.2033046,1.157201,-0.325563,0.2704363,1.272385,-0.4322607,0.1202563,1.410573,-0.3815428,-0.0256208,1.663362,-0.2671543,-0.1380821,1.386407,-0.377898,0.0320889,-0.7470241,-0.6405632,0.09854,-0.1559216,-0.2657512,0.3712222,-0.261115,-0.4522,0.5950406,0.3356899,-0.1719928,-0.1163522,0.1865722,0.0177633,-0.1514038,-0.0096979,-0.0179608,0.144644,0.2850879,0.0422252
0.024,-0.0867932,1.087514,-0.2295105,0.1060567,1.120345,-0.2512221,0.2027294,1.156544,-0.326152,0.2702533,1.271973,-0.4336608,0.1202254,1.410053,-0.382478,-0.0258909,1.663093,-0.2678321,-0.1384604,1.386634,-0.3778035,0.0280094,-0.7459552,-0.6410928,0.0972121,-0.1537558,-0.2654347,0.3670356,-0.2623859,-0.4495139,0.6018063,0.3300605,-0.1715324,-0.1175778,0.1843669,0.0193792,-0.1489881,-0.0095487,-0.0195841,0.1452907,0.2811514,0.0423174
0.051,-0.0869439,1.086918,-0.2311283,0.1059927,1.120208,-0.2511095,0.2023405,1.156235,-0.3261144,0.269392,1.270983,-0.4340559,0.1201925,1.410053,-0.3825357,-0.0257854,1.663269,-0.2682347,-0.1383378,1.386626,-0.3778701,0.0373547,-0.751278,-0.6359625,0.0978452,-0.157388,-0.2633354,0.3644796,-0.2614304,-0.450509,0.598696,0.3323427,-0.1773568,-0.1195659,0.1893848,0.0170096,-0.1498851,-0.0084532,-0.0204686,0.1452356,0.2814469,0.0419673
0.073,-0.0871059,1.087231,-0.2309328,0.1058829,1.120177,-0.2510745,0.2020558,1.156151,-0.3263403,0.2684227,1.27018,-0.4340701,0.1204014,1.41036,-0.383421,-0.0257714,1.663164,-0.2685626,-0.1383084,1.386563,-0.3779709,0.036203,-0.7470506,-0.6417016,0.0981093,-0.1580368,-0.2632999,0.3669046,-0.2601188,-0.4551179,0.5923417,0.3394264,-0.1828589,-0.1147666,0.1875329,0.0153116,-0.1501488,-0.0079818,-0.0207847,0.1453579,0.2803522,0.0422875
0.095,-0.0872413,1.08721,-0.2307924,0.1059034,1.120064,-0.2508963,0.2019953,1.155779,-0.3262638,0.26842,1.269916,-0.4347103,0.1201871,1.409768,-0.3833863,-0.0257058,1.663092,-0.2688913,-0.1381063,1.38636,-0.3781754,0.0349828,-0.7450793,-0.6439051,0.1033469,-0.1595358,-0.263872,0.3610528,-0.2612096,-0.4532271,0.5955896,0.3335766,-0.1794529,-0.1204818,0.1907503,0.0164278,-0.1502618,-0.0075187,-0.0208793,0.1455526,0.2811213,0.0424796
0.118,-0.0872694,1.087162,-0.2307487,0.1059231,1.120155,-0.2508212,0.2019107,1.155745,-0.3263479,0.2683623,1.26951,-0.4348927,0.1205748,1.409851,-0.3840623,-0.025648,1.662908,-0.2692332,-0.1380194,1.386406,-0.3781919,0.0358001,-0.7433532,-0.6461936,0.1021499,-0.159401,-0.2644718,0.3600063,-0.2607975,-0.4530328,0.5939353,0.333887,-0.1793877,-0.1180402,0.1878736,0.0164335,-0.1501278,-0.0075085,-0.0199575,0.1448631,0.2814089,0.0424944
0.14,-0.0871454,1.087054,-0.2308089,0.1058858,1.12029,-0.2506439,0.2018024,1.155857,-0.3270678,0.2679758,1.269288,-0.4350616,0.1203635,1.40985,-0.3844795,-0.0254584,1.662946,-0.2695053,-0.1380702,1.386389,-0.3782195,0.0378168,-0.7457235,-0.6434714,0.0992098,-0.1586226,-0.2653287,0.3672608,-0.2604432,-0.4524751,0.5931736,0.3368102,-0.1822179,-0.1165455,0.1877317,0.0146363,-0.1505093,-0.0066642,-0.0200569,0.1448042,0.279664,0.042353
0.162,-0.0870797,1.08761,-0.2298181,0.1058817,1.120146,-0.2509931,0.201714,1.15584,-0.3269362,0.2683917,1.269073,-0.4359745,0.1204862,1.409753,-0.3850559,-0.025467,1.663198,-0.2698368,-0.137926,1.386143,-0.3782607,0.0313784,-0.7432857,-0.6462648,0.1011971,-0.1621232,-0.2653986,0.3634013,-0.2591086,-0.4535607,0.5948219,0.3332436,-0.1819071,-0.115797,0.1883622,0.015687,-0.1518004,-0.0062675,-0.0202096,0.146314,0.2796248,0.0423586
0.184,-0.0870326,1.08762,-0.2296064,0.1058889,1.119837,-0.2512585,0.2018729,1.155253,-0.3271676,0.2685851,1.269183,-0.4366007,0.1203615,1.409447,-0.3848611,-0.0254162,1.663218,-0.2701006,-0.1382361,1.386216,-0.3782966,0.0306622,-0.7465383,-0.6421746,0.1038185,-0.1666133,-0.2644931,0.3597161,-0.2581557,-0.4546719,0.5960498,0.3314829,-0.1782383,-0.1190974,0.1902529,0.0156307,-0.1513954,-0.0061395,-0.019934,0.1460307,0.2759006,0.0430669
0.206,-0.0868186,1.088038,-0.2289949,0.1061156,1.119875,-0.251489,0.2017546,1.155335,-0.3273063,0.2685438,1.268962,-0.436938,0.1203628,1.409145,-0.3850191,-0.0254973,1.663273,-0.2703412,-0.1381759,1.386163,-0.3783849,0.0273037,-0.7465881,-0.6421712,0.1007758,-0.1678631,-0.262055,0.359511,-0.2572863,-0.4567291,0.5948098,0.3323613,-0.1812087,-0.1211592,0.1902037,0.0163617,-0.1500879,-0.0057602,-0.0200632,0.1448635,0.2755668,0.0422781
