time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.0302969,1.097572,-0.1614596,0.1049798,1.108565,-0.2748665,0.194344,1.140216,-0.3640075,0.2578779,1.249627,-0.4790832,0.1329988,1.406676,-0.415425,0.0013308,1.666767,-0.2938405,-0.127526,1.385115,-0.3937553,-0.3253513,-0.515525,-0.6953568,-0.0745422,0.2698528,0.1879247,0.3255597,-0.2200228,-0.5051669,0.5999439,0.3405646,-0.2662681,-0.1363616,0.2057326,0.0131182,-0.1394654,-0.0568294,-0.0065717,0.1285831,0.2967404,0.0456018
0.022,-0.0302969,1.097572,-0.1614596,0.1052315,1.108622,-0.2749098,0.194789,1.140137,-0.364296,0.2576667,1.249978,-0.4786564,0.1331715,1.406918,-0.4153478,0.0018295,1.667261,-0.2939948,-0.126808,1.384963,-0.3942024,-0.3253513,-0.515525,-0.6953568,-0.0771136,0.2722858,0.1891531,0.3250872,-0.2223801,-0.4994729,0.6037511,0.3391732,-0.264485,-0.1352403,0.2061996,0.0139863,-0.1388237,-0.0573527,-0.0066325,0.1277769,0.3028629,0.0446767
0.043,-0.0302969,1.097572,-0.1614596,0.1053932,1.108474,-0.275083,0.1951613,1.139907,-0.3641193,0.2591589,1.250173,-0.4788369,0.1331558,1.406957,-0.4152044,0.0019742,1.667253,-0.2940911,-0.1271893,1.384457,-0.3940789,-0.3253513,-0.515525,-0.6953568,-0.0816703,0.2717942,0.1916828,0.3208528,-0.2259772,-0.4916494,0.6087969,0.3290935,-0.2532661,-0.1363029,0.2050306,0.0143044,-0.1375595,-0.0580148,-0.0072539,0.1284781,0.2995586,0.0422355
0.065,-0.0302969,1.097572,-0.1614596,0.1055504,1.108672,-0.2747273,0.1956814,1.140611,-0.3634351,0.2599046,1.250589,-0.4786613,0.1332793,1.406963,-0.4152621,0.0021356,1.667346,-0.2941606,-0.1271078,1.38454,-0.3944154,-0.3253513,-0.515525,-0.6953568,-0.0824973,0.2708417,0.1915635,0.3269587,-0.2228483,-0.4988393,0.6107329,0.3266686,-0.2518025,-0.1356443,0.2035817,0.0143169,-0.1367222,-0.0584068,-0.007355,0.1284677,0.3024616,0.0436141
0.088,-0.0302969,1.097572,-0.1614596,0.1058609,1.108953,-0.273676,0.1965778,1.140556,-0.3618062,0.2606823,1.249692,-0.4772553,0.1334919,1.406746,-0.4154014,0.0021408,1.667375,-0.2942028,-0.1271334,1.384417,-0.394914,-0.3253513,-0.515525,-0.6953568,-0.0783692,0.2708004,0.1874008,0.3261061,-0.2292699,-0.4932208,0.5981679,0.3337606,-0.2559555,-0.1367874,0.1972345,0.0146315,-0.1337551,-0.0590115,-0.009039,0.1259549,0.3013114,0.0432122
0.109,-0.0302969,1.097572,-0.1614596,0.1056537,1.108548,-0.2721712,0.1969448,1.140346,-0.3598527,0.2618824,1.249566,-0.4760669,0.1333248,1.406447,-0.4151744,0.0020245,1.668022,-0.2940793,-0.1270762,1.384145,-0.3951354,-0.3253513,-0.515525,-0.6953568,-0.0773073,0.269548,0.1853156,0.3253682,-0.2329103,-0.4927358,0.5966315,0.3320936,-0.2537909,-0.1387324,0.1959769,0.0143692,-0.1332953,-0.0588183,-0.008774,0.125657,0.3027073,0.0429104
0.131,-0.0302969,1.097572,-0.1614596,0.105801,1.107802,-0.2702862,0.1971658,1.140825,-0.3572426,0.2624997,1.248912,-0.4743489,0.1334219,1.406236,-0.415567,0.0022302,1.668464,-0.2940181,-0.1269338,1.383772,-0.3951745,-0.3253513,-0.515525,-0.6953568,-0.066419,0.2642577,0.1795454,0.3333862,-0.2305334,-0.4999891,0.590135,0.3330683,-0.2514639,-0.1374216,0.1911111,0.0145208,-0.1317715,-0.0592612,-0.0087425,0.1255709,0.3028286,0.0426151
0.154,-0.0302969,1.097572,-0.1614596,0.1058919,1.106752,-0.2680651,0.1975975,1.138902,-0.3549061,0.2628294,1.248408,-0.4714269,0.1334484,1.405943,-0.4157084,0.002105,1.668769,-0.294017,-0.1266867,1.383257,-0.3954742,-0.3253513,-0.515525,-0.6953568,-0.0563026,0.2620279,0.1758396,0.3302225,-0.2374724,-0.4898667,0.5821583,0.3354184,-0.2581808,-0.1397224,0.1881849,0.0135263,-0.1301329,-0.058984,-0.0092811,0.1261666,0.303612,0.0428989
0.175,-0.0302969,1.097572,-0.1614596,0.1061476,1.105817,-0.2637059,0.1985764,1.13852,-0.3498579,0.2638046,1.248006,-0.4673439,0.1332033,1.405939,-0.4160221,0.0020722,1.668972,-0.2943067,-0.1267274,1.38336,-0.3958196,-0.3253513,-0.515525,-0.6953568,-0.0473611,0.2621131,0.1710309,0.3307427,-0.2349355,-0.4873224,0.5797822,0.3312183,-0.251913,-0.1313061,0.1756639,0.0137004,-0.1282218,-0.0585028,-0.0099579,0.1253631,0.3011367,0.0415779
0.197,-0.0302969,1.097572,-0.1614596,0.1069082,1.105748,-0.2600617,0.1992385,1.138632,-0.3471247,0.2630824,1.24717,-0.4646442,0.1331088,1.405787,-0.4160483,0.0020378,1.669006,-0.2944875,-0.1268187,1.38331,-0.3960555,-0.3253513,-0.515525,-0.6953568,-0.047184,0.2661197,0.1664503,0.3317683,-0.2373185,-0.4871945,0.5774538,0.3348567,-0.2568577,-0.12621,0.1652705,0.0123831,-0.1274766,-0.0581617,-0.0108076,0.1264063,0.3000098,0.0423468
0.22,-0.0302969,1.097572,-0.1614596,0.108225,1.10671,-0.2552077,0.1999978,1.138601,-0.343436,0.2639383,1.246664,-0.4628827,0.1332001,1.405312,-0.4156001,0.0019472,1.668895,-0.2947804,-0.1265805,1.383279,-0.3965811,-0.3253513,-0.515525,-0.6953568,-0.0467462,0.2687007,0.1675141,0.3208875,-0.2392308,-0.4837694,0.5813447,0.323567,-0.2462497,-0.1272257,0.1591562,0.0144421,-0.1249954,-0.05688,-0.0115747,0.125987,0.3036239,0.0422624
0.242,-0.0302969,1.097572,-0.1614596,0.110859,1.108437,-0.249497,0.2006649,1.139979,-0.3392429,0.2635126,1.245714,-0.4607223,0.1332369,1.405091,-0.4152581,0.0017734,1.669047,-0.2950542,-0.1265884,1.383487,-0.3972335,-0.3253513,-0.515525,-0.6953568,-0.0585492,0.270312,0.1666358,0.3144684,-0.2397773,-0.4808095,0.5789711,0.3183987,-0.2430788,-0.1250486,0.150458,0.013131,-0.1232745,-0.0562087,-0.011569,0.1237081,0.3054115,0.041997
0.265,-0.0068332,1.132438,-0.1218826,0.1133162,1.111315,-0.2431317,0.2017542,1.141182,-0.3347082,0.2624917,1.244757,-0.457936,0.132423,1.405014,-0.4148034,0.0013257,1.669398,-0.2952322,-0.127464,1.383697,-0.3974515,0.4328703,0.4887956,0.7366514,-0.0788857,0.2956375,0.1707511,0.3049755,-0.2391034,-0.4772825,0.5729625,0.3211603,-0.2488613,-0.1294594,0.1485004,0.0116912,-0.1222942,-0.0563217,-0.0117236,0.1238773,0.3016906,0.0430354
0.287,-0.0068332,1.132438,-0.1218826,0.1206185,1.118443,-0.2320586,0.2042698,1.143672,-0.3270414,0.2619476,1.244152,-0.4545761,0.1322456,1.404897,-0.4145321,0.0010816,1.669679,-0.2955903,-0.127105,1.383566,-0.3981038,0.4328703,0.4887956,0.7366514,-0.107333,0.3204867,0.1798513,0.2838546,-0.2352579,-0.4736097,0.5685066,0.3136621,-0.2546862,-0.1289585,0.1414885,0.0116387,-0.1211568,-0.0570382,-0.0103773,0.1248428,0.3112347,0.0412795
0.309,-0.0068332,1.132438,-0.1218826,0.1268387,1.123842,-0.2238051,0.206814,1.146292,-0.3215753,0.2606825,1.243255,-0.4519736,0.1316944,1.405165,-0.4140845,0.0011276,1.669793,-0.2960121,-0.1271265,1.383557,-0.3987079,0.4328703,0.4887956,0.7366514,-0.1278716,0.3364285,0.1858907,0.270563,-0.2342698,-0.4710767,0.553228,0.3186079,-0.2618038,-0.1303843,0.1378149,0.0086327,-0.1215616,-0.0576324,-0.0101116,0.1252703,0.3136509,0.0423494
0.331,0.0264027,1.154906,-0.075455,0.1332822,1.130128,-0.2148305,0.2100078,1.150449,-0.3148595,0.2612355,1.243352,-0.4489093,0.1318486,1.405039,-0.4142475,0.0015976,1.669183,-0.2966881,-0.1271543,1.383684,-0.3990648,0.458153,0.5786942,0.5664017,-0.1379001,0.3787713,0.192745,0.2540484,-0.2309341,-0.4752793,0.5386038,0.3223811,-0.27161,-0.1296639,0.1332581,0.0107644,-0.1211991,-0.058962,-0.0105751,0.1245526,0.3153369,0.0429099
0.353,0.0415098,1.16329,-0.0600387,0.1414606,1.138027,-0.204867,0.2143642,1.155014,-0.306676,0.2621757,1.243846,-0.4456344,0.1314735,1.404802,-0.4140368,0.0019204,1.668856,-0.2971937,-0.1274911,1.383619,-0.399323,0.471526,0.58133,0.5428243,-0.1455872,0.4065381,0.2015021,0.2327975,-0.2278902,-0.4694877,0.5206863,0.3281288,-0.2803837,-0.1332341,0.1308199,0.0099379,-0.1229676,-0.0622384,-0.0113392,0.1239543,0.3132348,0.0426182
0.375,0.0675416,1.176644,-0.0355081,0.1555546,1.151914,-0.1879214,0.2225877,1.16471,-0.293266,0.2640155,1.245887,-0.4393814,0.1312794,1.404804,-0.4146077,0.0027461,1.668042,-0.2982221,-0.1284305,1.383947,-0.4000464,0.4840228,0.5816274,0.5025159,-0.155575,0.4414368,0.2195962,0.2043758,-0.2233706,-0.4753526,0.4870817,0.3382062,-0.3029036,-0.131618,0.1226183,0.0111951,-0.1267573,-0.0674388,-0.0091724,0.1250829,0.3046069,0.0445625
0.398,0.0845054,1.185748,-0.0192734,0.1657892,1.162555,-0.1754907,0.2289885,1.171651,-0.2837588,0.2659164,1.248182,-0.4336945,0.1308744,1.405019,-0.4151302,0.003557,1.667306,-0.2991147,-0.1286938,1.384037,-0.4006473,0.4869952,0.5840325,0.4810293,-0.1680157,0.4613254,0.238759,0.191984,-0.2189033,-0.4757968,0.4601121,0.34672,-0.3169569,-0.132023,0.1163648,0.011532,-0.1298241,-0.0707698,-0.0085363,0.1249808,0.3040883,0.0429664
0.42,0.1012188,1.19621,-0.0027956,0.176874,1.173957,-0.1623081,0.2367448,1.179862,-0.271993,0.2685817,1.250887,-0.4282864,0.1303855,1.405112,-0.4155206,0.0044353,1.666553,-0.2999536,-0.1284438,1.383757,-0.4014273,0.4925809,0.584577,0.4624,-0.1836479,0.4794893,0.2579674,0.1635323,-0.2134409,-0.4643165,0.439842,0.3464435,-0.3183407,-0.1338898,0.1113244,0.0124458,-0.1329931,-0.0767508,-0.0060076,0.1257428,0.3080716,0.0399603
0.443,0.1176167,1.208132,0.0135922,0.1886527,1.185456,-0.1485911,0.2440524,1.188928,-0.2604654,0.271008,1.25439,-0.4212097,0.1298317,1.40539,-0.4161998,0.0056238,1.665965,-0.3009983,-0.1289109,1.383812,-0.4020754,0.4879614,0.5948082,0.4369403,-0.1935699,0.4938645,0.2710261,0.1418867,-0.1991295,-0.4578684,0.4164534,0.3497451,-0.3242283,-0.1324485,0.1060887,0.0131574,-0.1371879,-0.0824272,-0.0049049,0.1259976,0.3076187,0.0393935
0.466,0.1364989,1.221859,0.030156,0.2002784,1.197449,-0.1351943,0.2527833,1.198389,-0.2481698,0.2736301,1.25883,-0.4131277,0.1293346,1.405659,-0.4169714,0.0065461,1.66496,-0.302075,-0.1294652,1.383792,-0.4029885,0.4941986,0.5990806,0.4080334,-0.2001907,0.5132604,0.291687,0.1259978,-0.2001454,-0.437516,0.3910197,0.3491335,-0.3297493,-0.1278259,0.0981444,0.0137684,-0.1383239,-0.089937,-0.0027678,0.1259654,0.3084738,0.0395187
0.488,0.1651172,1.240759,0.0542589,0.218321,1.216147,-0.1149765,0.2642902,1.214258,-0.229631,0.2779903,1.266605,-0.4007515,0.1280507,1.406009,-0.4176575,0.0085856,1.664308,-0.303713,-0.130943,1.383747,-0.404435,0.4859148,0.6121136,0.3552007,-0.2114123,0.5401765,0.3273921,0.0970104,-0.1927305,-0.4192521,0.3573303,0.3442708,-0.3299969,-0.1279963,0.0862688,0.0152437,-0.140284,-0.10137,-0.0004095,0.1283554,0.303822,0.0389078
0.51,0.1857026,1.250189,0.0705936,0.229761,1.229296,-0.1020556,0.2718206,1.22562,-0.2173241,0.281575,1.272733,-0.3924576,0.1270464,1.40635,-0.4176298,0.0101421,1.664201,-0.3047519,-0.1311462,1.383296,-0.4055852,0.4764643,0.6072013,0.3309082,-0.2134074,0.5577738,0.3539171,0.0811522,-0.186619,-0.4018938,0.3397488,0.3348393,-0.3213054,-0.1284827,0.0809168,0.015197,-0.1429078,-0.1109841,0.0009341,0.1287242,0.3082618,0.0370805
0.533,0.2058503,1.258041,0.086209,0.2410165,1.243357,-0.0894272,0.2793678,1.237024,-0.205367,0.2841083,1.279461,-0.383662,0.1258646,1.406894,-0.4176474,0.0117374,1.663422,-0.3060773,-0.1327098,1.383456,-0.4065789,0.4689841,0.5979065,0.3167835,-0.2122513,0.5681176,0.381503,0.0663132,-0.179717,-0.3877101,0.3171982,0.3328332,-0.321531,-0.1264811,0.0742011,0.0153578,-0.1429558,-0.1220321,0.0018729,0.1317983,0.3021565,0.0394954
0.555,0.2311882,1.271203,0.1086682,0.2565266,1.262385,-0.0707556,0.2900531,1.254565,-0.1874185,0.2883619,1.290355,-0.3710725,0.1242413,1.407317,-0.4171839,0.0142213,1.662524,-0.3082558,-0.1329622,1.383184,-0.4082091,0.4379522,0.5990543,0.2875717,-0.2235997,0.5849891,0.4231088,0.0470622,-0.1640521,-0.3646042,0.2883568,0.3227092,-0.3086827,-0.124718,0.0633562,0.0160204,-0.1447452,-0.1396069,0.0017027,0.1328064,0.3137464,0.0377042
0.578,0.2452162,1.279552,0.1229108,0.2665482,1.274595,-0.0583978,0.2965444,1.265954,-0.1757796,0.2903818,1.298369,-0.3630289,0.1235615,1.408136,-0.4171899,0.0160237,1.662366,-0.3097132,-0.1342178,1.383284,-0.4095765,0.4096307,0.6079746,0.2656868,-0.2346179,0.5902222,0.4516466,0.037417,-0.1541065,-0.3506073,0.2699351,0.3169977,-0.3031841,-0.1184111,0.0517294,0.0180414,-0.1474306,-0.1513482,0.0022352,0.1294794,0.3085883,0.0367258
0.6,0.2577468,1.286867,0.13736,0.275449,1.28621,-0.0463291,0.3028967,1.276761,-0.1641369,0.2918011,1.30657,-0.3549446,0.1227845,1.408895,-0.4165148,0.0178714,1.662006,-0.3113135,-0.1346378,1.383052,-0.4106193,0.379584,0.6142629,0.2488959,-0.2403065,0.5952898,0.4739101,0.0305869,-0.1393017,-0.3323975,0.2490158,0.3114602,-0.302189,-0.1176123,0.0383959,0.021392,-0.1482127,-0.1622721,0.0025061,0.130196,0.3127759,0.0370718
0.622,0.269746,1.293057,0.1514712,0.2843382,1.296898,-0.0343075,0.3085814,1.287106,-0.1529457,0.29362,1.314747,-0.3479576,0.1219964,1.409614,-0.4156761,0.0194542,1.661803,-0.3128007,-0.135375,1.382904,-0.4114516,0.355606,0.6164966,0.244748,-0.2548712,0.5972166,0.4944917,0.0279512,-0.12662,-0.3157159,0.2326869,0.3049395,-0.2883011,-0.1157793,0.0272302,0.0244782,-0.1480398,-0.1731762,0.0038773,0.1285119,0.3167902,0.0350881
0.645,0.2806344,1.298862,0.1647915,0.2927107,1.306508,-0.0227896,0.3136475,1.296875,-0.141989,0.2944977,1.323195,-0.3407635,0.1212581,1.410342,-0.4149156,0.0212096,1.661875,-0.3141498,-0.1361164,1.382747,-0.4123812,0.3336084,0.6186833,0.2467474,-0.264646,0.6027732,0.5059317,0.0257992,-0.1139221,-0.3021194,0.2127776,0.2983128,-0.2829297,-0.1139763,0.0137839,0.0280436,-0.1486453,-0.1836822,0.0042966,0.1287093,0.3182637,0.0346912
0.667,0.2993062,1.308545,0.1844733,0.3046872,1.318124,-0.0062323,0.3205313,1.309722,-0.1261748,0.2949082,1.335574,-0.3309025,0.1201786,1.411437,-0.4134077,0.0233601,1.661913,-0.3162977,-0.1373252,1.382355,-0.4135809,0.3061045,0.6137502,0.2394733,-0.2728031,0.6217366,0.5098268,0.0283562,-0.0897518,-0.2784469,0.1906302,0.2834839,-0.2699655,-0.1108643,-0.0045401,0.0332493,-0.1483378,-0.1980519,0.0071416,0.128068,0.3181197,0.0352288
0.689,0.3121904,1.31715,0.1961659,0.3131438,1.323657,0.0050128,0.3245605,1.316874,-0.1158285,0.2943105,1.343559,-0.3239206,0.1193947,1.41217,-0.4128481,0.0245855,1.661685,-0.3175312,-0.1380747,1.382026,-0.4143638,0.3054156,0.607968,0.2313813,-0.2772994,0.6368839,0.5037916,0.0314417,-0.0689196,-0.2647846,0.1766095,0.2722717,-0.2625878,-0.1075388,-0.0138448,0.0364762,-0.1454345,-0.20858,0.0102806,0.1274895,0.3195011,0.0350056
0.712,0.3229248,1.3262,0.2075055,0.3221872,1.327957,0.0162763,0.3283628,1.323623,-0.1056184,0.2927902,1.351333,-0.3171082,0.1183718,1.413093,-0.4122694,0.0259105,1.6618,-0.3188396,-0.1386973,1.381889,-0.4149937,0.317683,0.6065801,0.2270648,-0.2807727,0.6476399,0.4940732,0.0375196,-0.0474065,-0.253801,0.1676387,0.2617907,-0.2532748,-0.1038823,-0.027625,0.0396857,-0.1428279,-0.2178412,0.0151715,0.1244817,0.3214183,0.0345696
0.734,0.3315226,1.333395,0.2190099,0.3308622,1.331396,0.0266809,0.3316959,1.329317,-0.0950819,0.2905553,1.358714,-0.3107475,0.1176088,1.413877,-0.4117624,0.0274025,1.662832,-0.3202633,-0.1386793,1.381604,-0.4153683,0.3069813,0.6163933,0.2147356,-0.2744327,0.6606025,0.4856266,0.044845,-0.0252055,-0.2476778,0.1619125,0.2484087,-0.2410584,-0.0991736,-0.040021,0.0441993,-0.1443935,-0.227101,0.0232502,0.1239516,0.3270966,0.0336423
0.756,0.3492757,1.339521,0.2336679,0.3410114,1.334859,0.0408574,0.3353826,1.337112,-0.0797037,0.2856409,1.370531,-0.299185,0.1163387,1.414989,-0.4106207,0.0290929,1.66276,-0.3221444,-0.1393243,1.380755,-0.4156984,0.2794385,0.6118194,0.1821612,-0.267917,0.6769564,0.4886975,0.0584076,0.0052251,-0.2465607,0.1391471,0.2322803,-0.2287291,-0.0910341,-0.0594918,0.0483937,-0.1361291,-0.2430466,0.0330026,0.1243095,0.3295097,0.0334314
0.778,0.3619563,1.340159,0.2414741,0.3469493,1.336899,0.0495763,0.3369443,1.341819,-0.0705222,0.2820352,1.377626,-0.2921284,0.1152246,1.415729,-0.4096811,0.0302695,1.663793,-0.3234751,-0.1404405,1.380424,-0.4157772,0.2915138,0.596875,0.1797618,-0.2633857,0.6805556,0.4984244,0.070299,0.0260142,-0.2423178,0.1307878,0.2195381,-0.2185439,-0.0870572,-0.0715704,0.0512425,-0.1340725,-0.2529835,0.0400551,0.1253699,0.3231024,0.0360037
0.801,0.3732932,1.337384,0.249627,0.3523314,1.338206,0.0579804,0.3378307,1.346645,-0.0620565,0.2783537,1.384455,-0.2851119,0.1137529,1.416232,-0.4085937,0.032061,1.663746,-0.325044,-0.1402511,1.380292,-0.4162307,0.2913639,0.5834801,0.1851825,-0.2620308,0.6811836,0.5115855,0.081563,0.0476729,-0.2296117,0.124769,0.2065402,-0.2069541,-0.0831871,-0.0806978,0.0546161,-0.1292537,-0.2617742,0.0432616,0.1229266,0.3262233,0.0339367
0.823,0.3814618,1.33248,0.2572395,0.3570152,1.339155,0.0655526,0.3376772,1.350988,-0.0542564,0.2741826,1.390776,-0.2781358,0.1130334,1.416995,-0.407347,0.0335547,1.664426,-0.3263284,-0.1403491,1.380236,-0.4165604,0.2717546,0.5786386,0.1857332,-0.2558768,0.6767667,0.5270147,0.0927714,0.0680414,-0.2193984,0.1159316,0.1932094,-0.1957942,-0.0793509,-0.093116,0.0578445,-0.1260388,-0.2691765,0.0462234,0.1212904,0.3278964,0.0334437
