time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.0910909,1.086476,-0.2392363,0.0990136,1.111673,-0.2754004,0.1902576,1.147456,-0.3574684,0.2519998,1.26221,-0.4731661,0.1160791,1.408287,-0.4137706,0.0133023,1.662811,-0.2908802,-0.1406028,1.390471,-0.391436,-0.0225919,-0.8009597,-0.5669212,0.0986528,-0.1622224,-0.2984616,0.3418187,-0.2241296,-0.4818291,0.5946259,0.3391575,-0.224636,-0.1193377,0.245517,0.0176141,-0.1472559,-0.1490628,0.0306198,0.1398516,0.2394146,0.0377454
0.022,-0.0905985,1.086655,-0.2387208,0.0992514,1.111636,-0.2755022,0.1904191,1.147346,-0.3575475,0.2521278,1.262184,-0.4735115,0.1162357,1.408393,-0.414037,0.0135169,1.66293,-0.2908428,-0.1403542,1.39037,-0.391511,-0.0227892,-0.8003955,-0.5676194,0.1000145,-0.1632417,-0.2985642,0.3409427,-0.225558,-0.4775449,0.5939158,0.3405892,-0.2253811,-0.1194155,0.2469869,0.0161456,-0.1476995,-0.1474957,0.0303646,0.1419934,0.2401852,0.0378995
0.046,-0.0906252,1.086653,-0.2389371,0.0995469,1.111532,-0.2754141,0.1905647,1.147014,-0.3579539,0.252345,1.261996,-0.4738347,0.1163047,1.408259,-0.4139927,0.0133705,1.662624,-0.2908833,-0.1403025,1.39056,-0.3917927,-0.0224508,-0.8001835,-0.5683954,0.0999938,-0.1629135,-0.2972259,0.3398706,-0.227005,-0.4779512,0.5937544,0.3400278,-0.2225884,-0.121353,0.248903,0.0162298,-0.1467442,-0.1475299,0.0309402,0.1392325,0.2364294,0.0385339
0.066,-0.0902346,1.086153,-0.2390747,0.0997648,1.1115,-0.2753275,0.1907718,1.147707,-0.3572863,0.2523285,1.261982,-0.4738459,0.1172424,1.40868,-0.4151029,0.0138746,1.662758,-0.2909588,-0.1398907,1.390436,-0.3919849,-0.0212249,-0.7989346,-0.5700613,0.0992235,-0.162989,-0.2979115,0.3458608,-0.2191313,-0.4868584,0.5955768,0.3395691,-0.2259573,-0.1107052,0.2397644,0.0137904,-0.1484849,-0.1463813,0.0307698,0.1395882,0.2371132,0.0387067
0.088,-0.0901571,1.085719,-0.2390103,0.0998868,1.111211,-0.2749772,0.1910469,1.146582,-0.3577526,0.2525048,1.261543,-0.4740658,0.1169078,1.40797,-0.4144669,0.0140099,1.662564,-0.2911328,-0.1398188,1.390331,-0.3920884,-0.0202866,-0.7986552,-0.569739,0.0981077,-0.1630893,-0.2955132,0.3428342,-0.2228019,-0.482054,0.5946997,0.3384787,-0.222211,-0.1219411,0.248782,0.0159471,-0.1479432,-0.1462569,0.0309484,0.1394459,0.2358446,0.0385465
0.111,-0.0899586,1.085835,-0.2391632,0.1000024,1.110888,-0.2751864,0.1911804,1.147203,-0.3573211,0.2525846,1.261349,-0.4740585,0.1174663,1.407782,-0.4143824,0.0141656,1.662647,-0.2910552,-0.1398521,1.390324,-0.3920534,-0.0210896,-0.7985381,-0.5706429,0.1007813,-0.1638425,-0.2964095,0.3435895,-0.2215637,-0.4858468,0.594666,0.3382457,-0.2216228,-0.1242117,0.2478453,0.0176234,-0.1482944,-0.1466049,0.0307623,0.140314,0.2336891,0.0396823
0.135,-0.089858,1.086281,-0.2390179,0.1000331,1.110935,-0.2752965,0.1913371,1.146447,-0.3575342,0.2527074,1.261203,-0.4741022,0.1175139,1.407718,-0.4147242,0.0143677,1.662403,-0.2910795,-0.1393723,1.390304,-0.392207,-0.0229034,-0.7987015,-0.5706844,0.1003981,-0.1657006,-0.2973738,0.3413537,-0.2230759,-0.4824984,0.5942706,0.3375635,-0.2219401,-0.1218959,0.247748,0.0171913,-0.1476207,-0.1478962,0.0309736,0.1394551,0.2348901,0.037921
0.163,-0.0896557,1.086299,-0.2391982,0.1004158,1.110837,-0.2748892,0.1916529,1.146607,-0.3571869,0.2531249,1.261177,-0.4740357,0.1177396,1.407666,-0.4148623,0.0148886,1.662719,-0.2911496,-0.1388293,1.390265,-0.3924356,-0.0205728,-0.7980952,-0.5717708,0.0978791,-0.1636719,-0.2961617,0.3398769,-0.2238731,-0.4819326,0.5950943,0.3360226,-0.2220175,-0.1205028,0.2450306,0.0156831,-0.1486472,-0.1468169,0.0311165,0.1395502,0.2358639,0.0395412
0.185,-0.0897633,1.086188,-0.2395259,0.1005125,1.110797,-0.2748078,0.1917449,1.146463,-0.3570228,0.2532431,1.261207,-0.4737476,0.1179321,1.407609,-0.4146624,0.0151137,1.662789,-0.2911567,-0.1387624,1.390095,-0.3924387,-0.0195065,-0.7984008,-0.5725476,0.0974317,-0.1634593,-0.295835,0.3390194,-0.2235039,-0.4815079,0.5949726,0.3375936,-0.2243676,-0.1213525,0.2459549,0.0156318,-0.1486459,-0.1477052,0.0317314,0.1394178,0.2339751,0.0391074
0.208,-0.0892974,1.08608,-0.2386675,0.1008548,1.110667,-0.2746947,0.1921191,1.145939,-0.3569768,0.253422,1.260574,-0.4733393,0.1183141,1.407195,-0.4142266,0.0155591,1.663008,-0.2909884,-0.1379778,1.390084,-0.3925901,-0.0217314,-0.7977831,-0.5718018,0.0975062,-0.1640404,-0.2948798,0.3371841,-0.2236882,-0.4798191,0.5902165,0.3426531,-0.2272757,-0.1265322,0.249745,0.0164571,-0.1485948,-0.1477635,0.032276,0.139663,0.2365418,0.039099
0.23,-0.0892893,1.085997,-0.2386705,0.101183,1.110725,-0.2745373,0.192342,1.145908,-0.3569292,0.253519,1.260568,-0.4729596,0.1187779,1.408031,-0.4149189,0.0159174,1.662907,-0.290929,-0.1376616,1.39005,-0.3926968,-0.0214401,-0.7978781,-0.5718118,0.0964011,-0.164964,-0.2950812,0.3385832,-0.2242665,-0.4797621,0.5901489,0.3441536,-0.229082,-0.1151145,0.2409307,0.0144204,-0.1478416,-0.1480194,0.0324136,0.1393219,0.2368562,0.039059
0.251,-0.089111,1.085802,-0.238754,0.1014645,1.110355,-0.2742205,0.1925621,1.145781,-0.3567846,0.2539391,1.260832,-0.4733584,0.1186274,1.407472,-0.414456,0.0161465,1.662919,-0.2908895,-0.1376046,1.39004,-0.3926871,-0.0203697,-0.7974228,-0.5727782,0.0956136,-0.1638005,-0.2937087,0.3390795,-0.2243149,-0.4794244,0.5942723,0.3396715,-0.2255188,-0.1212059,0.2454653,0.0144979,-0.1478739,-0.1476324,0.0328032,0.1408355,0.2351322,0.0403459
0.274,-0.0885928,1.085147,-0.2386765,0.1015202,1.110199,-0.2741977,0.19278,1.145667,-0.3564641,0.2541679,1.260834,-0.4729832,0.1191015,1.407549,-0.4144029,0.0162204,1.662803,-0.2908275,-0.1366024,1.389884,-0.3929975,-0.0178149,-0.7982002,-0.5713897,0.0985487,-0.166957,-0.2950913,0.3397131,-0.2244336,-0.4798686,0.5934319,0.3405182,-0.2263795,-0.1209819,0.2434486,0.0155457,-0.147649,-0.1471335,0.0327618,0.1407853,0.2427767,0.0387381
0.296,-0.0878634,1.086545,-0.2358524,0.1018417,1.109895,-0.2737431,0.193236,1.1452,-0.3557057,0.2546658,1.260372,-0.4721159,0.1194094,1.40752,-0.4146668,0.0163209,1.662648,-0.2906136,-0.1370597,1.390091,-0.3930732,-0.0285731,-0.7934034,-0.5769607,0.0983177,-0.1696667,-0.2971219,0.3396129,-0.2241524,-0.4792664,0.5899282,0.3414927,-0.2281232,-0.11794,0.241419,0.0151369,-0.1488371,-0.1448372,0.0318524,0.1420116,0.2365721,0.0394303
0.319,-0.0883035,1.086175,-0.2375137,0.1024407,1.109532,-0.2731418,0.1937893,1.144664,-0.3545576,0.2548901,1.260143,-0.4714251,0.1196159,1.407142,-0.4142744,0.0163636,1.662212,-0.2908411,-0.1367138,1.390186,-0.3934355,-0.0169192,-0.7981448,-0.5742782,0.0955609,-0.172498,-0.2946562,0.3400023,-0.2208362,-0.4814261,0.5876933,0.342326,-0.2296594,-0.1223819,0.2413658,0.0150408,-0.1498535,-0.142836,0.0313414,0.1419932,0.2360134,0.0395638
0.341,-0.087446,1.086227,-0.2352371,0.1034003,1.10948,-0.2715249,0.1945879,1.144977,-0.3535184,0.2544807,1.259945,-0.4700516,0.1198596,1.407304,-0.4144262,0.0160029,1.662298,-0.2906922,-0.1355277,1.390076,-0.3939959,-0.0202028,-0.7915125,-0.5838144,0.0866799,-0.1716769,-0.2905078,0.3411283,-0.2216953,-0.4864792,0.5811874,0.3521,-0.238638,-0.1177984,0.2364158,0.0145138,-0.1536166,-0.1394144,0.0306358,0.142785,0.2454778,0.0382676
0.363,-0.0870124,1.086615,-0.2324385,0.1042854,1.109097,-0.2693962,0.1954949,1.144821,-0.3514267,0.2554747,1.259753,-0.4688931,0.1198976,1.407031,-0.4141176,0.0150762,1.661553,-0.2905323,-0.1358545,1.390475,-0.3943489,-0.0140029,-0.7925426,-0.5835326,0.0833913,-0.1768525,-0.28598,0.3402041,-0.2194836,-0.4881317,0.5808236,0.3472202,-0.2345763,-0.1178233,0.233231,0.0136204,-0.153826,-0.1363891,0.0303094,0.1451191,0.2402967,0.0389953
0.386,-0.084173,1.090224,-0.2224591,0.1055451,1.108555,-0.2663083,0.197229,1.1442,-0.3481578,0.2563298,1.259393,-0.4670564,0.1201619,1.406805,-0.4140492,0.01415,1.660696,-0.290506,-0.1354207,1.390472,-0.3950856,-0.0402049,-0.7896855,-0.5812697,0.0765737,-0.1799328,-0.2812101,0.341068,-0.2169844,-0.4889354,0.5779671,0.3442633,-0.2331052,-0.1136146,0.2240034,0.0125594,-0.1551058,-0.1314634,0.0282756,0.1470404,0.2455202,0.037846
0.407,-0.0802331,1.095184,-0.2085051,0.107091,1.108091,-0.2590825,0.1992005,1.144328,-0.3409329,0.2577036,1.25886,-0.4621232,0.120224,1.406271,-0.4138151,0.012383,1.66007,-0.2902166,-0.135701,1.390716,-0.3963958,-0.0646093,-0.7964746,-0.566296,0.0610843,-0.1812339,-0.2750447,0.3379846,-0.2190933,-0.4932833,0.57068,0.3437828,-0.2331281,-0.1075246,0.2113654,0.0103245,-0.1597011,-0.120783,0.0273261,0.1489719,0.2463593,0.0398586
0.429,-0.0771936,1.096639,-0.1955561,0.1075367,1.108145,-0.2522261,0.2003185,1.144543,-0.3341513,0.2584152,1.258087,-0.4566912,0.119851,1.405571,-0.4132933,0.0108891,1.659192,-0.2900454,-0.1357422,1.39095,-0.3976564,-0.0766969,-0.8019888,-0.5514342,0.0601273,-0.1921716,-0.2780938,0.3388981,-0.2180685,-0.4953202,0.5598394,0.3433302,-0.2379346,-0.1108757,0.2077429,0.0096711,-0.1611326,-0.1136315,0.0274767,0.1492748,0.2481436,0.0402568
0.452,-0.073762,1.09558,-0.1804186,0.108917,1.109474,-0.242675,0.2010111,1.143904,-0.3257797,0.2589608,1.257822,-0.450045,0.1198751,1.40523,-0.4132318,0.0094601,1.658578,-0.2898615,-0.1350992,1.390774,-0.3989212,-0.0757926,-0.8029216,-0.5442413,0.0635995,-0.2017955,-0.2863759,0.3313954,-0.2231003,-0.4911308,0.5498604,0.3383069,-0.2404333,-0.1082177,0.1966914,0.0086408,-0.165538,-0.1044595,0.0269945,0.1516932,0.2573408,0.041478
0.474,-0.0696774,1.091364,-0.1614134,0.1102369,1.112021,-0.2312979,0.2013511,1.1449,-0.3154254,0.2598649,1.257577,-0.4430282,0.1199479,1.404811,-0.4133438,0.007262,1.65778,-0.2898893,-0.1353562,1.390556,-0.4003167,-0.0676746,-0.80193,-0.5350969,0.0735029,-0.2186569,-0.2977111,0.3298196,-0.2255745,-0.4912617,0.5424717,0.3229634,-0.2310667,-0.1050329,0.1818647,0.0084548,-0.1690002,-0.0962491,0.0253409,0.1531175,0.2569918,0.0415402
0.496,-0.0637166,1.085346,-0.1386068,0.1111461,1.115528,-0.2179821,0.2008352,1.147013,-0.3030999,0.2598015,1.257914,-0.4343272,0.1196288,1.404246,-0.4127641,0.0053348,1.656764,-0.2899861,-0.1353677,1.39092,-0.4017653,-0.0560102,-0.7968488,-0.5267717,0.0861265,-0.2420019,-0.3137701,0.3295869,-0.2244439,-0.4922228,0.5346564,0.3099481,-0.2355796,-0.1093753,0.1717656,0.0060344,-0.1738737,-0.0868876,0.0240678,0.1523726,0.259147,0.0408083
