id,trueTarget.X,trueTarget.Y,trueTarget.Z
21,-1,0.49,1.5
56,-1,0.49,1.5
63,-1,0.49,1.5
78,-1,0.49,1.5
120,-1,0.49,1.5
41,-1,0.49,2.5
77,-1,0.49,2.5
82,-1,0.49,2.5
89,-1,0.49,2.5
105,-1,0.49,2.5
19,-1,0.49,3.5
25,-1,0.49,3.5
57,-1,0.49,3.5
58,-1,0.49,3.5
98,-1,0.49,3.5
15,-1,1.49,1.5
47,-1,1.49,1.5
60,-1,1.49,1.5
66,-1,1.49,1.5
76,-1,1.49,1.5
6,-1,1.49,2.5
17,-1,1.49,2.5
43,-1,1.49,2.5
62,-1,1.49,2.5
127,-1,1.49,2.5
86,-1,1.49,3.5
100,-1,1.49,3.5
106,-1,1.49,3.5
107,-1,1.49,3.5
114,-1,1.49,3.5
8,-1,2.49,1.5
22,-1,2.49,1.5
29,-1,2.49,1.5
73,-1,2.49,1.5
124,-1,2.49,1.5
49,-1,2.49,2.5
53,-1,2.49,2.5
67,-1,2.49,2.5
112,-1,2.49,2.5
117,-1,2.49,2.5
10,-1,2.49,3.5
31,-1,2.49,3.5
50,-1,2.49,3.5
65,-1,2.49,3.5
132,-1,2.49,3.5
14,0,0.49,1.5
27,0,0.49,1.5
52,0,0.49,1.5
61,0,0.49,1.5
134,0,0.49,1.5
26,0,0.49,2.5
45,0,0.49,2.5
54,0,0.49,2.5
90,0,0.49,2.5
113,0,0.49,2.5
33,0,0.49,3.5
38,0,0.49,3.5
44,0,0.49,3.5
59,0,0.49,3.5
104,0,0.49,3.5
72,0,1.49,1.5
79,0,1.49,1.5
80,0,1.49,1.5
81,0,1.49,1.5
118,0,1.49,1.5
20,0,1.49,2.5
28,0,1.49,2.5
68,0,1.49,2.5
85,0,1.49,2.5
96,0,1.49,2.5
88,0,1.49,3.5
95,0,1.49,3.5
97,0,1.49,3.5
119,0,1.49,3.5
129,0,1.49,3.5
7,0,2.49,1.5
24,0,2.49,1.5
51,0,2.49,1.5
74,0,2.49,1.5
111,0,2.49,1.5
30,0,2.49,2.5
35,0,2.49,2.5
84,0,2.49,2.5
102,0,2.49,2.5
110,0,2.49,2.5
1,0,2.49,3.5
64,0,2.49,3.5
93,0,2.49,3.5
99,0,2.49,3.5
130,0,2.49,3.5
3,1,0.49,1.5
32,1,0.49,1.5
55,1,0.49,1.5
71,1,0.49,1.5
94,1,0.49,1.5
2,1,0.49,2.5
4,1,0.49,2.5
5,1,0.49,2.5
16,1,0.49,2.5
108,1,0.49,2.5
11,1,0.49,3.5
70,1,0.49,3.5
103,1,0.49,3.5
122,1,0.49,3.5
131,1,0.49,3.5
0,1,1.49,1.5
92,1,1.49,1.5
109,1,1.49,1.5
115,1,1.49,1.5
128,1,1.49,1.5
39,1,1.49,2.5
40,1,1.49,2.5
69,1,1.49,2.5
116,1,1.49,2.5
121,1,1.49,2.5
18,1,1.49,3.5
23,1,1.49,3.5
37,1,1.49,3.5
87,1,1.49,3.5
91,1,1.49,3.5
12,1,2.49,1.5
34,1,2.49,1.5
42,1,2.49,1.5
46,1,2.49,1.5
75,1,2.49,1.5
9,1,2.49,2.5
13,1,2.49,2.5
48,1,2.49,2.5
83,1,2.49,2.5
126,1,2.49,2.5
36,1,2.49,3.5
101,1,2.49,3.5
123,1,2.49,3.5
125,1,2.49,3.5
133,1,2.49,3.5
