time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.2101972,1.081101,0.1748597,-0.0381756,1.054507,0.1169005,0.1022199,1.049112,0.035719,0.1566007,1.162774,-0.0105899,0.0185773,1.308317,0.0097341,-0.1028413,1.583335,0.0610554,-0.1198648,1.454027,0.3930052,-0.1691324,-0.3724931,-0.902272,0.1565532,0.188836,0.025025,0.5021363,-0.1668257,-0.7372376,-0.6895338,-0.2192822,0.0906994,-0.0398953,-0.0134409,0.0439333,0.0007578,-0.0138164,0.0532352,-0.6290256,-0.5889694,0.4965646
0.022,-0.2063637,1.083221,0.1808993,-0.0357942,1.055478,0.118058,0.1034788,1.0493,0.0345439,0.1576113,1.16245,-0.01391,0.0209464,1.308075,0.0065178,-0.100328,1.582559,0.0627904,-0.1198648,1.454027,0.3930052,-0.1813818,-0.4005527,-0.8852421,0.1560647,0.1903827,0.0199844,0.492021,-0.1701468,-0.7417472,-0.6843407,-0.2226648,0.0994321,-0.0420537,0.0034074,0.0429409,0.0018934,-0.0235256,0.0502743,-0.6290256,-0.5889694,0.4965646
0.042,-0.2042498,1.085349,0.1820604,-0.0348819,1.055934,0.1179143,0.1041712,1.049487,0.0340818,0.158157,1.162438,-0.0152311,0.0219521,1.3082,0.0048769,-0.0990657,1.582207,0.0634202,-0.1198648,1.454027,0.3930052,-0.191767,-0.4069388,-0.8812814,0.1551488,0.1943168,0.0203026,0.4900182,-0.1707559,-0.741931,-0.6824741,-0.2235223,0.0987367,-0.0375207,0.0072446,0.0457817,0.0014785,-0.0274532,0.0497011,-0.6290256,-0.5889694,0.4965646
0.064,-0.203621,1.084642,0.1814433,-0.0338128,1.056476,0.1174574,0.1044462,1.049149,0.0323804,0.1588115,1.162619,-0.0162245,0.0225506,1.308253,0.0037335,-0.0981843,1.582164,0.0639429,-0.1198648,1.454027,0.3930052,-0.1842466,-0.4010598,-0.8843408,0.1554943,0.1941373,0.0211912,0.4862021,-0.1791036,-0.734812,-0.6834574,-0.2204842,0.0978546,-0.0373168,0.0122082,0.0433463,-0.0005612,-0.0327314,0.0489135,-0.6290256,-0.5889694,0.4965646
0.086,-0.2035649,1.084482,0.1800902,-0.0334613,1.05574,0.1162016,0.1053209,1.049497,0.0325294,0.1592803,1.162589,-0.0169361,0.0233167,1.30827,0.0026749,-0.0970493,1.582034,0.0644063,-0.1198648,1.454027,0.3930052,-0.1862582,-0.4057212,-0.8829544,0.1519369,0.1950036,0.0182507,0.4898703,-0.1720786,-0.7392503,-0.683645,-0.2193183,0.0959896,-0.0346292,0.0145552,0.0455461,-0.0017277,-0.036093,0.0491622,-0.6290256,-0.5889694,0.4965646
0.109,-0.2032841,1.083624,0.1780833,-0.033018,1.055536,0.1150514,0.1069487,1.049964,0.0319767,0.1596762,1.162663,-0.0177512,0.0236045,1.308129,0.0021348,-0.0960216,1.581554,0.0647517,-0.1198648,1.454027,0.3930052,-0.1848882,-0.3973995,-0.8865795,0.1511815,0.1915294,0.0224305,0.4925093,-0.1707082,-0.7435591,-0.6826149,-0.2203306,0.0939915,-0.036639,0.0193128,0.0436574,-0.0010233,-0.0399359,0.0488241,-0.6290256,-0.5889694,0.4965646
0.138,-0.2028684,1.082022,0.1749063,-0.0322432,1.055052,0.1135358,0.1070864,1.049569,0.0298132,0.1611538,1.163124,-0.0191841,0.0243378,1.308199,0.0011024,-0.0945785,1.581488,0.0652605,-0.1198648,1.454027,0.3930052,-0.1820589,-0.3864915,-0.8927683,0.1501525,0.1898172,0.025244,0.4931552,-0.1679706,-0.739868,-0.6866813,-0.2142419,0.0883803,-0.0329305,0.0226804,0.0460158,-0.0016475,-0.0449088,0.0492744,-0.6290256,-0.5889694,0.4965646
0.164,-0.2022678,1.079774,0.1739729,-0.0304602,1.054716,0.1129158,0.1080086,1.049465,0.0281459,0.1608842,1.162963,-0.0206892,0.0247279,1.308071,0.0004205,-0.0935357,1.581689,0.065793,-0.1198648,1.454027,0.3930052,-0.1774589,-0.3804824,-0.8956038,0.1502897,0.1931023,0.0279342,0.4892551,-0.1708943,-0.7373751,-0.6833979,-0.2230332,0.0948102,-0.0330381,0.0276278,0.0449975,-0.0023123,-0.0501773,0.0508366,-0.6290256,-0.5889694,0.4965646
0.184,-0.199735,1.080216,0.1761593,-0.0294001,1.054386,0.1130991,0.1086337,1.049131,0.0276406,0.1612145,1.163133,-0.0220749,0.0250537,1.308024,6.3e-05,-0.0929095,1.581533,0.0662948,-0.1198648,1.454027,0.3930052,-0.1851497,-0.3754973,-0.8968482,0.1505295,0.196962,0.0277028,0.4894025,-0.1656065,-0.739266,-0.6845278,-0.2239826,0.0969218,-0.0339181,0.0313785,0.045511,-0.0006874,-0.0538888,0.0506094,-0.6290256,-0.5889694,0.4965646
0.207,-0.197575,1.079659,0.1789374,-0.0280979,1.054005,0.1132622,0.1091597,1.049259,0.0268414,0.1612863,1.162884,-0.0228232,0.0252613,1.308191,-0.0002637,-0.09228,1.581772,0.0664879,-0.1198648,1.454027,0.3930052,-0.1899604,-0.3787811,-0.8936012,0.1534109,0.20224,0.0250923,0.4848819,-0.167318,-0.7388659,-0.6805261,-0.2328795,0.1020818,-0.0329698,0.0319021,0.0451833,-0.0011347,-0.0567402,0.0517714,-0.6290256,-0.5889694,0.4965646
