time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.1979159,1.078087,0.1474067,-0.0259046,1.055856,0.1083744,0.1151814,1.052335,0.019694,0.1669848,1.168154,-0.0324417,0.0334465,1.308649,-0.0019793,-0.0824615,1.598572,0.0676635,-0.3316769,1.713593,0.2549114,-0.1830029,-0.2673138,-0.9367127,0.0878047,0.0962487,0.0319493,0.4717374,-0.1457448,-0.752514,-0.6811061,-0.2284452,0.1131878,-0.0374666,0.0847042,0.0408147,0.0806485,-0.0400158,0.0621998,0.463149,-0.8401968,0.2411665
0.025,-0.1946044,1.076863,0.1478877,-0.0231618,1.055557,0.1074039,0.1163617,1.052115,0.0165906,0.1677912,1.168922,-0.0374582,0.0341975,1.309053,-0.004429,-0.0811651,1.598362,0.0681827,-0.3316769,1.713593,0.2549114,-0.185979,-0.2605226,-0.9371687,0.0847438,0.1043497,0.0307873,0.463546,-0.1385183,-0.7583712,-0.682947,-0.2278255,0.1160609,-0.0355847,0.0937786,0.038931,0.0770283,-0.0475147,0.0606724,0.463149,-0.8401968,0.2411665
0.051,-0.1916227,1.076657,0.1496116,-0.0205702,1.055472,0.1061093,0.1174056,1.052554,0.0125794,0.1678477,1.169618,-0.0414578,0.0350138,1.30912,-0.0065407,-0.0802346,1.59759,0.0686766,-0.3316769,1.713593,0.2549114,-0.1925771,-0.2568795,-0.937089,0.0843106,0.1159872,0.032767,0.456216,-0.1390784,-0.7587923,-0.6802066,-0.2420012,0.1247239,-0.0387295,0.107354,0.039337,0.0766148,-0.0542393,0.0588029,0.463149,-0.8401968,0.2411665
0.073,-0.1894971,1.0765,0.1505032,-0.0186231,1.055627,0.1056657,0.118367,1.052856,0.01119,0.1684517,1.169386,-0.0443689,0.0356641,1.309455,-0.008197,-0.0793174,1.597634,0.0685875,-0.3316769,1.713593,0.2549114,-0.19843,-0.25789,-0.9348899,0.0863376,0.1168444,0.0319226,0.4542702,-0.1352912,-0.7613925,-0.6811398,-0.2385354,0.1276086,-0.0360898,0.1108672,0.0415541,0.0737502,-0.0571896,0.056708,0.463149,-0.8401968,0.2411665
0.095,-0.1875151,1.076778,0.1511577,-0.0173278,1.055553,0.1046254,0.1188301,1.052592,0.0087966,0.1668648,1.169189,-0.0461608,0.0361488,1.309609,-0.0093837,-0.0788346,1.597711,0.0685679,-0.3316769,1.713593,0.2549114,-0.2015201,-0.256747,-0.9347851,0.083057,0.1248595,0.0310672,0.4494056,-0.1367488,-0.7584202,-0.6719094,-0.2580894,0.1406362,-0.0367435,0.1187003,0.0413785,0.0711193,-0.0603297,0.0560732,0.463149,-0.8401968,0.2411665
0.118,-0.1849857,1.077574,0.152226,-0.0152891,1.056189,0.1038367,0.1197467,1.053072,0.0063766,0.1668585,1.169509,-0.0492201,0.0366266,1.309629,-0.0110796,-0.0781713,1.597025,0.068658,-0.3316769,1.713593,0.2549114,-0.2079564,-0.2547701,-0.9337654,0.0869726,0.1292888,0.0334583,0.4457592,-0.132876,-0.76399,-0.671021,-0.2614906,0.14841,-0.0400149,0.1286614,0.0413661,0.0706506,-0.0648393,0.0545677,0.463149,-0.8401968,0.2411665
0.14,-0.1836066,1.077552,0.1526809,-0.0141244,1.056282,0.1032723,0.1203744,1.05318,0.0053159,0.1688256,1.170245,-0.0517022,0.0369797,1.309779,-0.0120785,-0.0777977,1.597098,0.0683261,-0.3316769,1.713593,0.2549114,-0.2074579,-0.2588416,-0.9318613,0.0870901,0.1319287,0.0293606,0.4427757,-0.1296477,-0.7677867,-0.6800456,-0.2451891,0.1332036,-0.0391478,0.1319397,0.0413128,0.0673151,-0.0674776,0.0537859,0.463149,-0.8401968,0.2411665
0.162,-0.1823059,1.077911,0.1540012,-0.0132166,1.056426,0.1026956,0.1202643,1.052992,0.0040251,0.1683578,1.169716,-0.0532073,0.0372533,1.310052,-0.0130687,-0.0774765,1.596413,0.068382,-0.3316769,1.713593,0.2549114,-0.2138106,-0.2613727,-0.9298652,0.0846607,0.1383729,0.0294247,0.4407305,-0.1228153,-0.7687365,-0.6749113,-0.2527344,0.1389622,-0.0396935,0.1362964,0.0392403,0.0698781,-0.0703622,0.0522811,0.463149,-0.8401968,0.2411665
0.184,-0.1811373,1.077931,0.1545234,-0.0125608,1.05652,0.1024263,0.1205408,1.053417,0.0028123,0.1682325,1.169793,-0.0548696,0.03747,1.30988,-0.0139806,-0.0772194,1.596464,0.0680826,-0.3316769,1.713593,0.2549114,-0.2170238,-0.2546651,-0.9313154,0.0855729,0.1419594,0.0281611,0.4366643,-0.1274646,-0.7726202,-0.6752817,-0.2522381,0.138861,-0.0396676,0.1383591,0.0394435,0.0682512,-0.0724442,0.0513545,0.463149,-0.8401968,0.2411665
0.207,-0.179675,1.078524,0.1556788,-0.0115375,1.056396,0.1024514,0.1201294,1.052303,0.0014372,0.1678656,1.169937,-0.0568945,0.0377042,1.309784,-0.0149672,-0.0769294,1.596366,0.067673,-0.3316769,1.713593,0.2549114,-0.2202934,-0.2561899,-0.9303086,0.085202,0.1450718,0.0245581,0.4338185,-0.124541,-0.7694083,-0.6754703,-0.2575932,0.1436559,-0.0410128,0.1405735,0.0393296,0.0672481,-0.0740119,0.0506356,0.463149,-0.8401968,0.2411665
0.228,-0.1788291,1.078456,0.1579079,-0.0112286,1.056618,0.1022954,0.120133,1.052179,0.0007705,0.1676519,1.169472,-0.0578088,0.0376167,1.309768,-0.0155617,-0.0767262,1.596244,0.0673277,-0.3316769,1.713593,0.2549114,-0.2271645,-0.2439653,-0.931808,0.0848049,0.1503979,0.0265131,0.4315749,-0.1256365,-0.7699823,-0.673716,-0.2592674,0.1472472,-0.0396285,0.1433693,0.0405431,0.0669494,-0.0757294,0.0505884,0.463149,-0.8401968,0.2411665
0.25,-0.1785202,1.078274,0.1588352,-0.0107068,1.056259,0.1027062,0.1201494,1.05206,0.0005362,0.1672196,1.169187,-0.0583142,0.0373165,1.309846,-0.0161688,-0.0767772,1.595962,0.06691,-0.3316769,1.713593,0.2549114,-0.2272436,-0.2530318,-0.9286678,0.0883617,0.1490528,0.0236075,0.4298903,-0.1258618,-0.7708832,-0.6713073,-0.2615037,0.1489646,-0.0406171,0.1444283,0.0398452,0.0673487,-0.0775568,0.0507509,0.463149,-0.8401968,0.2411665
0.272,-0.1774103,1.07874,0.1607516,-0.0104535,1.056375,0.1028041,0.1200925,1.052014,0.0004633,0.166164,1.168944,-0.0583534,0.0370339,1.309846,-0.0164592,-0.0767786,1.596091,0.0663999,-0.3316769,1.713593,0.2549114,-0.2339371,-0.24965,-0.9283671,0.0879787,0.1545864,0.0241842,0.4292507,-0.1259618,-0.7707458,-0.6683158,-0.2674121,0.1553065,-0.0416517,0.1429876,0.0397201,0.0661535,-0.0787292,0.0513138,0.463149,-0.8401968,0.2411665
0.295,-0.1760769,1.077589,0.163873,-0.0101896,1.056467,0.1034153,0.1199858,1.052095,0.0010864,0.1654614,1.168777,-0.0580659,0.0366915,1.309796,-0.0166327,-0.0768146,1.595723,0.0656636,-0.3316769,1.713593,0.2549114,-0.2355797,-0.2429431,-0.9292378,0.0985115,0.1644944,0.0226528,0.4292811,-0.1238142,-0.7721803,-0.6668341,-0.2711226,0.1589895,-0.0416772,0.1420315,0.0411906,0.0668491,-0.080929,0.0523348,0.463149,-0.8401968,0.2411665
0.317,-0.1747335,1.076462,0.1678503,-0.0095621,1.055454,0.1047023,0.1196214,1.051825,0.0012076,0.1658152,1.168912,-0.0578923,0.0361916,1.310037,-0.0165553,-0.0769455,1.595529,0.0650478,-0.3316769,1.713593,0.2549114,-0.2411224,-0.2417828,-0.9274277,0.104392,0.1697139,0.0192753,0.4276323,-0.1257218,-0.769457,-0.6692919,-0.2664073,0.153448,-0.040878,0.1384115,0.0389409,0.0671516,-0.0824735,0.0529304,0.463149,-0.8401968,0.2411665
0.339,-0.1723587,1.075127,0.1731501,-0.0086989,1.054834,0.1063278,0.1200216,1.052549,0.0022349,0.1658116,1.168614,-0.0571988,0.0359394,1.309956,-0.0164387,-0.0767148,1.595493,0.0642942,-0.3316769,1.713593,0.2549114,-0.2484142,-0.2373001,-0.9264697,0.1123728,0.179106,0.0198487,0.4234175,-0.1267635,-0.7731169,-0.6689471,-0.264803,0.1492614,-0.0395012,0.1323313,0.0410748,0.0656649,-0.0847782,0.0534548,0.463149,-0.8401968,0.2411665
0.361,-0.1691158,1.072521,0.1807891,-0.007311,1.054001,0.1089851,0.1202965,1.051891,0.0046134,0.1655825,1.168485,-0.0561179,0.0351726,1.31003,-0.0160887,-0.0770142,1.595192,0.0635736,-0.3316769,1.713593,0.2549114,-0.2599998,-0.2334427,-0.9230211,0.115713,0.1919924,0.0255217,0.4278334,-0.1175657,-0.7718908,-0.6690353,-0.2615482,0.1487196,-0.0394765,0.1258879,0.0398531,0.067135,-0.0878724,0.0534304,0.463149,-0.8401968,0.2411665
0.385,-0.1650448,1.069877,0.189108,-0.0049032,1.053345,0.1133397,0.1211548,1.052232,0.0077802,0.1634418,1.16808,-0.0534674,0.0343894,1.30985,-0.0155242,-0.0769899,1.595722,0.0624942,-0.3316769,1.713593,0.2549114,-0.2712889,-0.2369938,-0.9166058,0.1144714,0.2020995,0.0260113,0.4205855,-0.1174472,-0.7765533,-0.6581349,-0.2794499,0.164456,-0.0403802,0.121793,0.040085,0.064475,-0.0896024,0.0534304,0.463149,-0.8401968,0.2411665
0.407,-0.156544,1.065985,0.2057744,0.000837,1.053932,0.1237105,0.1232653,1.052288,0.0149592,0.1648874,1.168297,-0.0496006,0.0334062,1.310252,-0.0153866,-0.0769859,1.59532,0.0612672,-0.3316769,1.713593,0.2549114,-0.2928501,-0.2318408,-0.9088134,0.1052666,0.2207224,0.0394197,0.4120898,-0.1225019,-0.7718693,-0.6551431,-0.2685722,0.1530605,-0.0361016,0.1091798,0.0374734,0.0663211,-0.0941917,0.0535199,0.463149,-0.8401968,0.2411665
0.429,-0.1494827,1.064699,0.2195305,0.0055388,1.055899,0.1331744,0.1255518,1.053436,0.0221136,0.1652496,1.168855,-0.0456719,0.0327408,1.30987,-0.0150573,-0.077094,1.595854,0.0603644,-0.3316769,1.713593,0.2549114,-0.3025873,-0.2523973,-0.8958066,0.0877278,0.2410736,0.0492766,0.4032375,-0.1223513,-0.772843,-0.6467786,-0.2723929,0.1578171,-0.0383136,0.1042712,0.0383461,0.0645711,-0.0974494,0.0535332,0.463149,-0.8401968,0.2411665
