time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.089766,1.073545,0.0807879,0.1043994,1.123271,0.0589766,0.203803,1.167287,-0.0390239,0.2357439,1.25937,-0.1161451,0.076414,1.395385,-0.0181144,-0.0245102,1.653611,0.0745634,-0.1383392,1.390623,-0.0131686,-0.152596,0.5536937,0.8029191,-0.0278241,0.3584957,0.2374808,-0.3465405,0.1533255,0.453636,0.6298574,0.4359246,-0.1907995,0.0192125,-0.1166948,-0.0844532,-0.0711504,-0.032072,-0.0183474,0.0792842,0.2593628,0.1324351
0.022,-0.088601,1.072916,0.0792125,0.1053286,1.123065,0.0590728,0.2037361,1.166816,-0.0401622,0.2352255,1.258612,-0.1173692,0.0763993,1.395268,-0.0188593,-0.0223777,1.65295,0.0747794,-0.1381257,1.39045,-0.012431,-0.1638346,0.5605943,0.7961366,-0.0253899,0.3535348,0.2358964,-0.3439171,0.1479536,0.4537468,0.6281804,0.4390366,-0.1952594,0.0189419,-0.1191712,-0.0819046,-0.0736293,-0.0428488,-0.0186678,0.0799512,0.2548333,0.1323822
0.054,-0.0874986,1.07313,0.0787779,0.1063436,1.123216,0.0593001,0.2043788,1.166924,-0.0409128,0.2352905,1.257878,-0.1188929,0.0768381,1.39496,-0.0195373,-0.0202405,1.65319,0.0753147,-0.1377599,1.390466,-0.0117361,-0.1624278,0.5699869,0.7903023,-0.0259824,0.3508094,0.2373019,-0.342876,0.1468472,0.4569045,0.6236668,0.4441044,-0.2024189,0.0202361,-0.1248523,-0.0801488,-0.0727906,-0.0548072,-0.0188174,0.0792972,0.2536888,0.1325186
0.085,-0.0870629,1.073112,0.0785613,0.1066709,1.123242,0.059703,0.2049116,1.16658,-0.0406541,0.2356973,1.257411,-0.1193994,0.0771545,1.394711,-0.0197734,-0.0193825,1.654261,0.0754421,-0.1373167,1.390279,-0.0112794,-0.1615091,0.5705449,0.790669,-0.0283285,0.3494777,0.2370766,-0.3379202,0.1527618,0.4526778,0.6215472,0.4444258,-0.1999884,0.0229744,-0.1280945,-0.0819652,-0.0742895,-0.0615987,-0.0201012,0.0787523,0.2524397,0.1306043
0.107,-0.0871913,1.073509,0.0786996,0.1068744,1.122773,0.0600781,0.2046957,1.16678,-0.0397527,0.2366628,1.257202,-0.1191085,0.0773726,1.394404,-0.0196903,-0.0190483,1.653808,0.0755405,-0.137248,1.390177,-0.0111606,-0.1598186,0.5680295,0.792963,-0.0300734,0.3483807,0.2356227,-0.3369333,0.138907,0.4640896,0.62258,0.439185,-0.1934195,0.0242286,-0.1265438,-0.0823015,-0.0713048,-0.0655102,-0.0209335,0.0790602,0.2534308,0.1312188
0.131,-0.0876466,1.073242,0.0786181,0.106844,1.122905,0.0614032,0.2053486,1.166223,-0.0386983,0.2364324,1.256397,-0.1180349,0.0775144,1.394084,-0.0197868,-0.0186542,1.655157,0.0754653,-0.1370861,1.390129,-0.011238,-0.1654738,0.5668545,0.7926491,-0.0319011,0.3456151,0.2383198,-0.3395426,0.1450734,0.4621019,0.6192325,0.4417849,-0.197945,0.0238093,-0.1224007,-0.0822878,-0.0765729,-0.0671647,-0.0203225,0.0769885,0.2526795,0.1302001
0.152,-0.0879769,1.072239,0.0779953,0.1069112,1.121892,0.0648774,0.2064288,1.164515,-0.0356995,0.2362435,1.254846,-0.1155218,0.0774126,1.393506,-0.019087,-0.0189893,1.654069,0.0753331,-0.1368905,1.389811,-0.0117049,-0.1755882,0.5504999,0.8037882,-0.0260173,0.3387521,0.2302692,-0.3433697,0.1529035,0.4476801,0.6124086,0.4460827,-0.2019356,0.0246051,-0.114144,-0.082319,-0.0697156,-0.0719215,-0.0219478,0.0769484,0.2563544,0.1289824
0.174,-0.0883877,1.071307,0.0784131,0.1068388,1.120837,0.0684101,0.205912,1.16369,-0.0324771,0.236283,1.253975,-0.1131227,0.0773588,1.393126,-0.0188511,-0.0190493,1.655622,0.0749998,-0.1367922,1.389511,-0.0124215,-0.1820612,0.5364111,0.8132654,-0.0216621,0.3320683,0.229596,-0.3367842,0.1391059,0.4622745,0.6104013,0.4432139,-0.2021694,0.0209751,-0.1050911,-0.0815153,-0.076065,-0.0706102,-0.0214119,0.0775641,0.26001,0.1276417
0.197,-0.0882099,1.069092,0.0813144,0.1065235,1.120152,0.0726806,0.2063696,1.162133,-0.0282695,0.2343831,1.252147,-0.1087684,0.076539,1.392971,-0.0177956,-0.0196986,1.655473,0.0746284,-0.1373274,1.389649,-0.0134299,-0.1869433,0.5092257,0.8289886,-0.0167116,0.3289867,0.2259921,-0.3343453,0.1502683,0.4559689,0.5942453,0.4589093,-0.2212531,0.0247571,-0.1010706,-0.0804251,-0.0742753,-0.0715702,-0.0221812,0.0765024,0.2634724,0.1273002
0.219,-0.0878756,1.067023,0.0896327,0.1061588,1.119528,0.0780191,0.2061938,1.160307,-0.0234272,0.2355779,1.250894,-0.105508,0.0759251,1.392744,-0.0165543,-0.0209861,1.654256,0.0741944,-0.1376987,1.38955,-0.014603,-0.1599492,0.4687936,0.8554812,-0.013746,0.3282881,0.2243381,-0.331422,0.1541745,0.4498886,0.5957413,0.4452684,-0.2098262,0.0247804,-0.0967166,-0.0805154,-0.067383,-0.0740256,-0.0238792,0.0772396,0.2708317,0.1259916
