time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.0980538,1.070386,0.1010041,0.0946289,1.121722,0.1020703,0.2006096,1.165938,0.007965,0.2333284,1.253929,-0.0704086,0.068698,1.394452,0.0121235,-0.0425884,1.650735,0.0894852,-0.147103,1.388212,-0.0063369,-0.1638795,0.6014265,0.7652913,-0.05337,0.2684653,0.233482,-0.3496652,0.1751541,0.4221325,0.5992069,0.4435492,-0.1932967,0.0476363,-0.0450809,-0.0896037,-0.0841662,-0.0251185,-0.0498703,0.0843072,0.3129713,0.1228892
0.022,-0.0983411,1.06959,0.0991165,0.0937668,1.122635,0.1035006,0.2007692,1.166361,0.0102526,0.2339669,1.254249,-0.0684206,0.0687244,1.394843,0.0117349,-0.0404623,1.654594,0.0888134,-0.1473741,1.387918,-0.0071571,-0.1774179,0.6038581,0.759962,-0.0545717,0.2610936,0.2334786,-0.3472993,0.1784196,0.4192977,0.5986276,0.4398561,-0.194443,0.0457532,-0.0428094,-0.0904174,-0.1006197,-0.019354,-0.046642,0.0861892,0.311015,0.1240007
0.043,-0.0988764,1.069625,0.0982236,0.093105,1.122958,0.1046229,0.2007193,1.166451,0.0120458,0.2352476,1.254793,-0.0672694,0.0685698,1.394869,0.0116349,-0.040265,1.654814,0.087933,-0.1474297,1.38812,-0.0076953,-0.1835034,0.6043313,0.7586809,-0.0575168,0.25573,0.2339234,-0.3462391,0.1867439,0.410713,0.6056799,0.4285397,-0.1874329,0.0489286,-0.0433497,-0.0904686,-0.0990962,-0.0207846,-0.0452065,0.0855758,0.3137354,0.1230254
0.068,-0.0998383,1.07008,0.0981674,0.0915081,1.123932,0.107538,0.2005678,1.167379,0.0159546,0.2356924,1.253987,-0.0637325,0.0684334,1.394482,0.0112986,-0.0413363,1.653719,0.0854465,-0.1475679,1.387666,-0.0087418,-0.1813394,0.6046181,0.7602647,-0.0651997,0.2434475,0.2360409,-0.3480102,0.1904605,0.4100035,0.5980139,0.4271172,-0.1854239,0.0519428,-0.0412465,-0.093379,-0.0840841,-0.0329594,-0.0467327,0.0861299,0.3190009,0.1205381
0.099,-0.1009521,1.068514,0.0984402,0.089443,1.125782,0.1116036,0.2004052,1.167524,0.0214077,0.2369527,1.254125,-0.0592401,0.0673943,1.394804,0.0105845,-0.0412455,1.652836,0.0838208,-0.1482872,1.387359,-0.0096557,-0.1993453,0.6092344,0.7510859,-0.0731937,0.2335814,0.2371285,-0.3407968,0.2046606,0.3942971,0.59576,0.4184346,-0.182775,0.0557445,-0.0389602,-0.0912136,-0.0717523,-0.0385459,-0.047243,0.0874069,0.3204044,0.1192335
0.121,-0.1019559,1.068504,0.0991456,0.088108,1.126841,0.115427,0.2002106,1.168801,0.0262273,0.2380201,1.253771,-0.0559611,0.0670904,1.395169,0.0095682,-0.0410481,1.65295,0.0826105,-0.1486727,1.387429,-0.0105291,-0.2067489,0.6002117,0.7568029,-0.0786277,0.2245452,0.2349573,-0.3415134,0.2091745,0.397053,0.5891666,0.4094435,-0.1724189,0.0528764,-0.0332419,-0.0910516,-0.0677133,-0.0418714,-0.0441223,0.0876873,0.3203782,0.1180506
0.145,-0.1030674,1.068759,0.1023149,0.0867545,1.128764,0.1197925,0.2002409,1.169095,0.0315355,0.2372511,1.253522,-0.0512909,0.0665172,1.395357,0.0088333,-0.040828,1.655082,0.0810642,-0.1492652,1.387236,-0.0113745,-0.2054536,0.5895025,0.7659625,-0.0871724,0.2164555,0.2392573,-0.3373601,0.2170547,0.3890113,0.5762469,0.4140323,-0.1850178,0.052955,-0.0304494,-0.0906198,-0.0751389,-0.04276,-0.042547,0.0905683,0.3199773,0.1184914
0.166,-0.1030214,1.067997,0.1040201,0.0860982,1.130944,0.124976,0.2002099,1.170472,0.0372408,0.2383924,1.254415,-0.0468542,0.0656583,1.395197,0.0083794,-0.0408465,1.653487,0.0795751,-0.1498551,1.387018,-0.0124094,-0.2235853,0.5771408,0.7709352,-0.0953775,0.2152682,0.231369,-0.3348273,0.2234029,0.3848782,0.5723054,0.4057349,-0.1790842,0.059062,-0.030235,-0.0913123,-0.0651162,-0.048064,-0.0431017,0.0920509,0.3192982,0.1185279
0.188,-0.103011,1.070881,0.1178325,0.0860141,1.13546,0.1337226,0.200589,1.173785,0.0470756,0.2394052,1.255087,-0.0388626,0.0649526,1.395513,0.0071917,-0.0407415,1.653856,0.0768219,-0.149933,1.386728,-0.014078,-0.2119223,0.5496275,0.7916953,-0.1058994,0.2268934,0.2276243,-0.3317938,0.2348887,0.3769273,0.5571893,0.4014538,-0.1790292,0.0571305,-0.0204301,-0.093802,-0.0671006,-0.052839,-0.0415725,0.0931684,0.328626,0.1150788
0.21,-0.1032477,1.077775,0.1359316,0.0865071,1.139729,0.1410716,0.2013337,1.176272,0.0545228,0.2398049,1.255509,-0.0329856,0.0643546,1.396165,0.0060335,-0.040619,1.653574,0.0748877,-0.1500701,1.386853,-0.015387,-0.1787986,0.5774497,0.7769639,-0.1162519,0.2423006,0.2209439,-0.3250598,0.2439563,0.3703863,0.5436879,0.3979291,-0.1777404,0.0554467,-0.0120716,-0.0925118,-0.0657035,-0.055536,-0.0412933,0.0923145,0.3336284,0.1132605
