pid,cid,time,indexFinger.X,indexFinger.Y,indexFinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperArm.X,upperArm.Y,upperArm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexFingerO.X,indexFingerO.Y,indexFingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperArmO.X,upperArmO.Y,upperArmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
1,20,2.010100,0.193936,1.101066,0.241552,0.179306,1.015990,0.167182,0.182304,0.967638,0.091722,0.150738,0.897211,-0.003621,0.067361,0.785505,-0.042120,0.011563,0.938562,-0.027377,-0.079013,0.774419,-0.060030,-0.457988,-0.582198,0.268541,0.590338,-0.684285,-0.424065,-0.242620,0.058215,-0.025129,-0.267348,0.137741,-0.064142,0.065738,-0.343057,-0.044369,0.034920,-0.140420,0.000161,-0.107428,-0.415268,-0.061884
1,21,2.421300,-0.089074,0.807778,0.360867,-0.033794,0.790107,0.264371,0.029775,0.794001,0.201482,0.081728,0.800953,0.091263,0.062751,0.775442,-0.012586,-0.004655,0.930986,-0.020220,-0.062880,0.781010,-0.086849,-0.305735,-0.820803,-0.148761,0.686899,-0.449886,-0.411457,0.118559,-0.290941,-0.108115,0.097986,-0.196154,-0.100650,0.073250,0.080163,-0.068454,-0.038239,0.167015,-0.012100,-0.102328,-0.579132,-0.112654
1,22,1.555000,0.011662,0.712143,0.373371,0.035337,0.725749,0.264544,0.078713,0.743381,0.189310,0.096015,0.776157,0.073914,0.044252,0.776411,-0.022849,-0.026698,0.922260,-0.001066,-0.096486,0.780273,-0.068518,-0.292723,-0.690898,-0.271123,0.520039,-0.455737,-0.560195,0.212322,-0.133869,-0.206318,0.184589,-0.008657,-0.159846,-0.006088,0.050551,-0.099843,-0.125115,0.033287,-0.010958,-0.077346,-0.486539,-0.102900
1,23,1.843800,0.021372,0.945435,0.361404,0.040001,0.902062,0.259634,0.075454,0.884314,0.177864,0.091606,0.852092,0.060699,0.038709,0.780461,-0.030477,-0.026574,0.932523,-0.028608,-0.098108,0.775747,-0.082857,0.427896,0.728594,0.031209,0.631667,-0.575656,-0.452459,-0.062048,-0.150094,-0.088469,-0.080665,-0.061093,-0.140479,0.064180,-0.121435,-0.055293,-0.018717,0.030605,-0.000615,-0.108610,-0.522994,-0.078352
1,24,1.576500,0.031054,0.793603,0.395115,0.052669,0.785256,0.284359,0.089102,0.793464,0.203320,0.106163,0.803083,0.082547,0.054865,0.772553,-0.023078,-0.014298,0.927336,-0.013373,-0.078171,0.779654,-0.088286,0.327659,0.720138,0.178749,0.582870,-0.506030,-0.523118,0.128199,-0.111389,-0.152772,0.072871,-0.047438,-0.201988,0.011298,-0.057618,-0.031622,-0.067782,0.084698,-0.018356,-0.085451,-0.552793,-0.111557
1,25,1.798300,0.141479,0.840394,0.366548,0.133920,0.817668,0.257274,0.150515,0.816603,0.169643,0.137045,0.814393,0.048102,0.056176,0.774257,-0.041385,-0.004816,0.929517,-0.025694,-0.086676,0.778036,-0.081567,0.420001,0.644634,0.093781,0.523831,-0.573771,-0.569873,0.057811,-0.003984,-0.169720,0.005156,0.078884,-0.197398,0.015889,-0.182085,-0.025651,-0.041122,-0.038240,0.004627,-0.100195,-0.479498,-0.096271
1,26,1.933200,-0.079987,0.841876,0.394952,-0.032271,0.821038,0.295095,0.021375,0.822311,0.223448,0.066636,0.818153,0.109595,0.039804,0.775433,-0.002352,-0.024620,0.929694,-0.010840,-0.077934,0.778250,-0.090466,0.365001,0.788407,0.197770,0.659213,-0.480331,-0.420502,0.076396,-0.249895,-0.123652,0.047871,-0.163026,-0.179408,0.021090,0.026164,-0.043571,-0.049311,0.169374,-0.007905,-0.087351,-0.623933,-0.111129
1,27,1.521700,0.030376,0.942005,0.359174,0.045642,0.902607,0.254240,0.087077,0.879951,0.175914,0.104343,0.848165,0.059277,0.049426,0.779292,-0.033497,-0.016523,0.931384,-0.026535,-0.085819,0.776271,-0.088933,0.451539,0.712794,0.098440,0.616997,-0.584472,-0.452714,-0.053983,-0.170147,-0.129243,-0.072084,-0.055158,-0.170064,0.031325,-0.115389,-0.056030,-0.034909,0.043244,-0.008528,-0.087489,-0.526370,-0.089533
1,28,1.609600,-0.094621,0.947514,0.351840,-0.038933,0.902265,0.264467,0.020376,0.884670,0.198999,0.071662,0.853058,0.092384,0.048363,0.780325,-0.012517,-0.015413,0.931739,-0.026660,-0.064983,0.777063,-0.104116,0.426714,0.815875,0.145068,0.722771,-0.520844,-0.306756,-0.035232,-0.292077,-0.093058,-0.063478,-0.201627,-0.140250,0.046268,0.028559,-0.051437,-0.026059,0.197345,-0.012487,-0.087558,-0.643068,-0.104537
1,29,1.766600,0.039548,0.948426,0.354494,0.060088,0.906537,0.252072,0.098252,0.886709,0.171570,0.113676,0.854088,0.054782,0.056180,0.781892,-0.036440,-0.008095,0.928953,-0.028865,-0.079164,0.776011,-0.091770,0.448159,0.737569,0.082532,0.640583,-0.567067,-0.448444,-0.056774,-0.143877,-0.083468,-0.089261,-0.042640,-0.128292,0.018902,-0.121312,-0.047550,-0.043710,0.038819,-0.005392,-0.097890,-0.536625,-0.089467
1,30,1.488300,0.139212,0.950211,0.336572,0.134699,0.910346,0.231201,0.153087,0.886374,0.145046,0.137575,0.852778,0.029298,0.057185,0.780764,-0.045112,-0.006432,0.933485,-0.030280,-0.087792,0.774384,-0.080776,0.522495,0.642925,0.111915,0.544932,-0.641159,-0.474994,-0.078698,-0.042593,-0.131793,-0.104710,0.088292,-0.137749,0.048489,-0.214486,-0.047578,-0.009561,-0.065180,-0.006798,-0.100434,-0.470834,-0.072927
1,31,1.955100,0.031574,1.045442,0.327494,0.057300,0.982225,0.237961,0.092818,0.945747,0.162002,0.103651,0.889474,0.054467,0.049412,0.787591,-0.019442,-0.014186,0.937432,-0.017862,-0.086991,0.771310,-0.077828,0.532961,0.741788,0.061776,0.666751,-0.618389,-0.342328,-0.169899,-0.141148,-0.034853,-0.187896,-0.026432,-0.061874,0.070701,-0.134465,-0.071615,0.024829,-0.001741,-0.003807,-0.078241,-0.544396,-0.063944
1,32,1.955100,0.042726,0.837080,0.381246,0.059679,0.830420,0.271105,0.101082,0.830919,0.189354,0.118005,0.826343,0.068662,0.060587,0.782590,-0.031923,-0.002444,0.926667,-0.021203,-0.076092,0.782810,-0.092573,0.409009,0.697482,0.221356,0.585315,-0.481135,-0.546588,0.063660,-0.150038,-0.107928,0.024833,-0.021585,-0.145889,-0.009783,-0.141705,-0.045527,-0.083097,0.052211,-0.001026,-0.078453,-0.553568,-0.108879
1,33,1.861700,-0.092494,0.949984,0.336947,-0.031735,0.909101,0.251254,0.032417,0.887423,0.191046,0.081357,0.855137,0.084938,0.051713,0.782749,-0.016956,-0.015129,0.930815,-0.027948,-0.064982,0.775054,-0.107971,0.448812,0.804979,0.234811,0.705690,-0.505364,-0.295723,-0.046689,-0.325443,-0.104067,-0.055742,-0.165422,-0.144980,0.054090,-0.014805,-0.053724,-0.034063,0.170702,-0.016922,-0.084095,-0.648044,-0.090523
1,34,1.387200,0.152679,0.943009,0.335811,0.141947,0.902663,0.229779,0.149227,0.886117,0.141435,0.127109,0.855982,0.024819,0.046756,0.778585,-0.044929,-0.013819,0.930246,-0.025021,-0.098513,0.774535,-0.067422,0.492648,0.647062,0.077047,0.571282,-0.609154,-0.522238,-0.052366,0.030701,-0.045333,-0.100856,0.102787,-0.083380,0.086017,-0.299055,-0.058928,-0.029695,-0.095792,-0.001578,-0.108840,-0.419263,-0.073481
1,35,2.631800,-0.137056,1.098188,0.251467,-0.081892,1.017593,0.196181,-0.016099,0.972860,0.152517,0.039596,0.902832,0.070381,0.019317,0.790584,-0.006668,-0.042100,0.940904,-0.036323,-0.089943,0.771942,-0.103120,0.561654,0.806987,0.078823,0.760478,-0.584354,-0.140257,-0.240382,-0.367904,-0.038975,-0.226583,-0.241326,-0.082619,0.106539,0.023833,-0.059039,0.059150,0.225178,-0.002776,-0.091104,-0.673413,-0.077089
1,36,2.465900,0.033882,0.840392,0.376551,0.058981,0.813383,0.270266,0.101425,0.809935,0.193105,0.117629,0.807420,0.072521,0.055343,0.775296,-0.025892,-0.010334,0.921399,-0.016655,-0.083831,0.777513,-0.079360,0.484859,0.702290,0.243798,0.610797,-0.546147,-0.451964,0.072063,-0.156895,-0.159922,0.039043,-0.003751,-0.212988,0.018341,-0.114187,-0.028051,-0.091900,0.034454,-0.008622,-0.118770,-0.527654,-0.096142
1,37,1.688200,-0.090438,1.044466,0.320823,-0.046788,0.975477,0.242410,0.008373,0.937010,0.181742,0.047480,0.881768,0.080709,0.012443,0.785878,-0.008453,-0.051929,0.935912,-0.013673,-0.104994,0.774456,-0.096291,0.564878,0.761519,0.180320,0.683610,-0.616851,-0.229055,-0.151456,-0.294421,-0.112124,-0.156373,-0.165738,-0.138675,0.074084,-0.003130,-0.053540,0.005207,0.141230,-0.019565,-0.070557,-0.641858,-0.085469
1,38,1.457400,0.138367,0.840711,0.357864,0.138397,0.818863,0.247788,0.153964,0.816990,0.159827,0.138373,0.814276,0.039001,0.055315,0.773451,-0.049227,-0.002628,0.920714,-0.024231,-0.088476,0.777611,-0.092253,0.514405,0.637356,0.208335,0.528560,-0.578184,-0.532868,0.055094,-0.004451,-0.145627,-0.001656,0.088571,-0.198795,0.018789,-0.179101,-0.015813,-0.104883,-0.052005,-0.005511,-0.096869,-0.488935,-0.102936
1,39,1.399200,-0.108740,0.801152,0.368788,-0.056684,0.802656,0.269965,0.008898,0.809159,0.206078,0.066102,0.813312,0.098262,0.049069,0.777577,-0.019133,-0.018769,0.919904,-0.019696,-0.062640,0.776231,-0.112517,0.382273,0.733357,0.383568,0.634982,-0.408042,-0.452964,0.119058,-0.310540,-0.102130,0.080658,-0.190271,-0.129511,-0.007248,0.078440,-0.066023,-0.104116,0.195808,-0.023953,-0.063744,-0.654893,-0.107688
1,40,1.255000,-0.117351,0.804378,0.349681,-0.060004,0.805025,0.253296,0.005858,0.810765,0.190532,0.058960,0.815563,0.081267,0.034297,0.780124,-0.028023,-0.039421,0.922589,-0.023677,-0.088464,0.773815,-0.099167,0.363398,0.757254,0.376700,0.665412,-0.391327,-0.437141,0.115485,-0.305878,-0.099786,0.086087,-0.158139,-0.128052,-0.005132,-0.031317,-0.084014,-0.090378,0.152321,-0.043503,-0.068786,-0.576270,-0.089993
1,41,1.644300,0.033981,0.943216,0.343046,0.054536,0.900167,0.241058,0.093276,0.881502,0.161151,0.106821,0.851271,0.043969,0.047882,0.780532,-0.046179,-0.015707,0.929822,-0.040705,-0.087959,0.774810,-0.098967,0.520558,0.717486,0.168472,0.641007,-0.571568,-0.436655,-0.048301,-0.148530,-0.086368,-0.075679,-0.027206,-0.124893,0.079611,-0.174328,-0.066021,-0.039532,0.022374,-0.009392,-0.100374,-0.520615,-0.078169
1,42,1.599500,-0.161476,0.936473,0.335147,-0.091473,0.899591,0.255154,-0.017317,0.879647,0.205821,0.051481,0.850211,0.110221,0.042236,0.781286,0.002340,-0.019334,0.927973,-0.015489,-0.058209,0.775931,-0.102487,0.455969,0.779927,0.360965,0.706354,-0.472224,-0.262145,-0.022260,-0.410617,-0.119133,-0.033175,-0.259638,-0.136342,0.056713,0.093336,-0.058123,-0.051055,0.258104,-0.010048,-0.070378,-0.689485,-0.108087
1,43,1.499900,-0.184543,0.931741,0.316947,-0.115627,0.897934,0.234819,-0.041398,0.880621,0.185202,0.026149,0.853349,0.088165,0.017296,0.783558,-0.019587,-0.048473,0.929628,-0.037658,-0.081598,0.774145,-0.127204,-0.456663,-0.769278,-0.375091,0.700241,-0.469479,-0.270321,-0.019904,-0.404093,-0.099425,-0.027761,-0.253254,-0.116174,0.059340,0.100774,-0.066129,-0.039411,0.258230,-0.022402,-0.061342,-0.702671,-0.096075
1,44,1.622500,0.023089,0.698334,0.371368,0.045233,0.716114,0.262138,0.085257,0.738826,0.186655,0.104333,0.772226,0.070922,0.052998,0.771837,-0.033371,-0.012850,0.912249,-0.018607,-0.081609,0.777925,-0.100157,-0.405741,-0.620210,-0.405816,0.521308,-0.447221,-0.563094,0.228282,-0.114047,-0.190546,0.172604,-0.015177,-0.217506,-0.022585,0.021127,-0.045755,-0.170029,0.058102,-0.004644,-0.090651,-0.567549,-0.105200
1,45,1.976400,0.188023,1.101103,0.257596,0.168719,1.017442,0.184069,0.165618,0.975217,0.106012,0.133230,0.905292,0.010365,0.053655,0.787309,-0.032892,-0.000916,0.941326,-0.019192,-0.093808,0.770478,-0.068459,-0.617375,-0.620748,0.127813,0.588644,-0.682192,-0.433153,-0.229861,0.085988,0.064607,-0.250511,0.167476,0.017917,0.060039,-0.230181,-0.066171,0.060394,-0.173248,-0.015092,-0.063365,-0.480126,-0.064677
1,46,11.143800,-0.097654,0.946345,0.337074,-0.044404,0.900316,0.252416,0.018457,0.882119,0.188242,0.071815,0.852283,0.082149,0.052821,0.782705,-0.025201,-0.004664,0.937965,-0.047040,-0.055411,0.775585,-0.125385,-0.238312,-0.714799,0.323594,0.666193,-0.526642,-0.375660,-0.021174,-0.312734,-0.134569,-0.043424,-0.218733,-0.182387,0.062126,0.056262,-0.040803,0.022657,0.201309,0.003338,-0.090890,-0.684835,-0.093191
1,47,1.598900,-0.009820,1.072334,0.314299,0.012881,0.991915,0.238525,0.042930,0.957188,0.162062,0.052522,0.899771,0.054760,0.006954,0.793686,-0.019054,-0.054337,0.941876,-0.021162,-0.127370,0.771513,-0.082476,-0.382773,-0.674022,0.330997,0.675682,-0.634425,-0.369918,-0.168700,-0.099526,-0.005842,-0.198207,-0.055979,-0.049169,0.083863,-0.123848,-0.081760,0.061403,0.021959,-0.004690,-0.079609,-0.595249,-0.054366
1,48,1.920300,0.020594,1.119875,0.269510,0.040606,1.028224,0.207703,0.074416,0.984429,0.137251,0.087313,0.912946,0.038616,0.042107,0.794134,-0.023874,-0.020573,0.944201,-0.033404,-0.093111,0.770302,-0.089776,-0.457448,-0.667156,0.344118,0.699006,-0.627968,-0.339715,-0.238284,-0.104825,0.040329,-0.256594,-0.052406,-0.019539,0.092535,-0.119128,-0.083595,0.092429,0.027686,-0.005313,-0.077109,-0.610059,-0.051352
1,49,1.595200,0.000100,0.788175,0.392883,0.021314,0.772610,0.285052,0.053806,0.788777,0.204767,0.068945,0.804546,0.084532,0.021889,0.777726,-0.023056,-0.049669,0.915040,-0.017986,-0.112059,0.772716,-0.093683,-0.313989,-0.767975,-0.055250,0.632333,-0.440977,-0.574261,0.156307,-0.084568,-0.084096,0.094224,-0.048894,-0.156965,0.021111,-0.015957,-0.060985,-0.131247,0.081273,-0.025817,-0.104038,-0.600063,-0.071091
1,50,1.721300,-0.059113,0.846075,0.362157,-0.008634,0.815252,0.268004,0.046984,0.819446,0.200630,0.090963,0.820454,0.086438,0.059551,0.779480,-0.025361,-0.006725,0.925928,-0.032173,-0.060977,0.773933,-0.112618,-0.411873,-0.810845,-0.157071,0.693182,-0.469649,-0.408211,0.100993,-0.243080,-0.083180,0.059970,-0.136248,-0.152365,0.043343,0.029064,-0.046329,-0.066871,0.155418,-0.005041,-0.084738,-0.643880,-0.088272
1,51,1.965900,-0.117252,0.804575,0.355269,-0.061264,0.788226,0.259545,0.001592,0.792404,0.196922,0.053574,0.801312,0.087258,0.030501,0.776841,-0.024889,-0.034754,0.921782,-0.030869,-0.086164,0.776666,-0.117256,-0.394457,-0.787287,-0.284811,0.663316,-0.441415,-0.409511,0.145736,-0.281217,-0.164054,0.112961,-0.162827,-0.201993,0.028412,0.066653,-0.051208,-0.094424,0.176315,-0.015818,-0.089968,-0.665929,-0.096531
1,52,1.932000,0.157556,1.061423,0.293259,0.154048,0.990269,0.205864,0.157419,0.951855,0.124198,0.132451,0.892955,0.019874,0.058618,0.788875,-0.034757,0.000899,0.932020,-0.019274,-0.089107,0.769810,-0.067112,-0.623235,-0.658803,-0.016915,0.568795,-0.705685,-0.377962,-0.186622,0.028009,-0.050782,-0.215684,0.106384,-0.053189,0.088017,-0.224580,-0.067934,0.003572,-0.118164,-0.010978,-0.105781,-0.498470,-0.043049
1,53,1.931300,0.174325,1.068387,0.280948,0.161361,0.996065,0.197091,0.168454,0.958225,0.113732,0.149688,0.896007,0.009774,0.076093,0.787153,-0.046905,0.016710,0.933691,-0.040971,-0.069874,0.771341,-0.089445,-0.561601,-0.660894,0.111121,0.588134,-0.638383,-0.495537,-0.184151,0.034130,0.037663,-0.224535,0.095747,-0.006478,0.083908,-0.192234,-0.054238,0.013944,-0.073779,0.001868,-0.103362,-0.528785,-0.054782
