time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.2178097,1.159061,0.0552319,-0.020041,1.165448,0.0739288,0.0792825,1.190129,0.0234469,0.1986303,1.351245,-0.1067131,0.0475423,1.498959,-0.0860897,-0.0717136,1.720931,0.0010178,-0.2327027,1.459257,-0.0936568,0.130257,-0.7589052,-0.6361914,0.0281313,0.0526266,0.2304687,-0.4390624,0.298908,0.5870669,0.5500111,0.3509051,-0.2041164,0.2669088,0.0778545,0.1288914,-0.0893862,-0.061907,0.0339873,-0.1527825,-0.3698412,-0.1832298
0.022,-0.2184906,1.158753,0.0554222,-0.0206048,1.164994,0.0745745,0.0786484,1.189505,0.0243488,0.1982532,1.350578,-0.1053168,0.0476855,1.49883,-0.0856101,-0.0720775,1.721064,0.0018268,-0.2328122,1.459288,-0.093489,0.1300846,-0.7552226,-0.6404671,0.0298183,0.0484256,0.2300948,-0.4382428,0.2994574,0.5843158,0.5479268,0.3520998,-0.205408,0.2625992,0.0831474,0.1264725,-0.0929395,-0.0569368,0.0330674,-0.1519425,-0.3710447,-0.1843874
0.046,-0.2190226,1.158477,0.0552637,-0.0210221,1.164942,0.07479,0.0785192,1.189814,0.0241661,0.198352,1.350612,-0.1047677,0.0473041,1.498734,-0.0848465,-0.0721743,1.720785,0.0023044,-0.2328504,1.459309,-0.093498,0.1302044,-0.7585372,-0.6366783,0.0280038,0.0490946,0.2299456,-0.4441892,0.3013203,0.5874813,0.5488842,0.3512553,-0.2053555,0.2645098,0.0800322,0.1295268,-0.0927627,-0.0562829,0.0329183,-0.1514469,-0.371145,-0.1846665
0.067,-0.2193192,1.158323,0.0552246,-0.0212804,1.164539,0.0749443,0.0781654,1.189687,0.024439,0.1980734,1.35026,-0.1041584,0.0475003,1.498695,-0.0845331,-0.0723432,1.720457,0.0028129,-0.2328968,1.459217,-0.0933784,0.130323,-0.7582854,-0.6369851,0.0299869,0.0483687,0.2294933,-0.4461451,0.3001949,0.587553,0.5464676,0.3539836,-0.2057864,0.2627147,0.0837238,0.1290076,-0.0921404,-0.0573081,0.0323848,-0.1510443,-0.3710018,-0.1853206
0.088,-0.2194724,1.158374,0.0553119,-0.0214109,1.164471,0.0751223,0.0781516,1.189167,0.0255119,0.1981515,1.350216,-0.1037987,0.0473555,1.49871,-0.0841625,-0.0723212,1.720298,0.0032985,-0.2329566,1.459143,-0.0932687,0.1286746,-0.7585897,-0.637037,0.0307062,0.0470308,0.2292388,-0.4412149,0.2977644,0.5864925,0.5466802,0.353788,-0.2046064,0.2624341,0.0837454,0.1304852,-0.0929426,-0.056931,0.032418,-0.1512547,-0.3716215,-0.1859137
0.111,-0.2195906,1.158225,0.0553485,-0.0215136,1.164455,0.0752631,0.0780286,1.189038,0.0255812,0.1983993,1.350473,-0.1036283,0.0472733,1.4987,-0.0838352,-0.0722011,1.720175,0.0036154,-0.2329715,1.459203,-0.0933248,0.1299029,-0.7587254,-0.6366128,0.0295677,0.0467826,0.2296798,-0.4400234,0.2998126,0.5860943,0.5502626,0.3506154,-0.2026925,0.2636656,0.0827146,0.1315102,-0.0943532,-0.0560798,0.0322801,-0.1511203,-0.3708367,-0.1859466
0.133,-0.21973,1.158302,0.0553846,-0.0217041,1.164433,0.0754823,0.0778881,1.189392,0.0250826,0.1983861,1.350363,-0.1033288,0.0472365,1.49873,-0.0836801,-0.0721328,1.720026,0.0038804,-0.2328796,1.459242,-0.0931741,0.1310951,-0.7597426,-0.6351529,0.0312326,0.0472048,0.2305734,-0.4464112,0.3010291,0.5874727,0.5502009,0.349539,-0.2007813,0.2610151,0.0842467,0.1319319,-0.0965107,-0.0561155,0.0334281,-0.1499954,-0.3730677,-0.1854928
0.155,-0.2197665,1.157763,0.0554119,-0.0215498,1.164217,0.0758838,0.077919,1.189262,0.0255478,0.1985343,1.350782,-0.1024994,0.0472055,1.498762,-0.0833024,-0.0720037,1.719481,0.0043068,-0.2330347,1.459266,-0.0930743,0.1328648,-0.7591602,-0.6354595,0.0316561,0.0441567,0.2339745,-0.4468187,0.3012452,0.5888205,0.5523152,0.348249,-0.2015296,0.2591453,0.0849214,0.1311856,-0.0977931,-0.0564127,0.0311426,-0.1487925,-0.3727606,-0.185888
0.177,-0.2198515,1.157342,0.0554876,-0.0218436,1.164,0.0761135,0.0780794,1.189343,0.026275,0.1985316,1.3509,-0.1020148,0.0469954,1.498861,-0.0829489,-0.0718509,1.719172,0.0045744,-0.2330205,1.459243,-0.0930896,0.1337101,-0.7605392,-0.6335784,0.0315757,0.044265,0.2310188,-0.445109,0.2997867,0.585632,0.5526547,0.3484594,-0.2026018,0.2605185,0.0829204,0.1324998,-0.0980392,-0.0568949,0.0306888,-0.149718,-0.3714949,-0.1852506
0.199,-0.2198398,1.156975,0.0554084,-0.0220703,1.163616,0.0757619,0.0777988,1.189044,0.0260995,0.1987349,1.350857,-0.1017299,0.0469755,1.498716,-0.0827132,-0.0716318,1.719282,0.0049147,-0.2328952,1.459177,-0.0930794,0.1323592,-0.7579612,-0.6369895,0.0278074,0.0479557,0.2344737,-0.4489261,0.3005493,0.5881618,0.5530447,0.3458959,-0.2000661,0.2606965,0.0831252,0.1320044,-0.0999234,-0.0577117,0.0312811,-0.1472536,-0.3729756,-0.1853803
