time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.2209551,1.210266,0.0616091,-0.0227999,1.181377,0.0745658,0.0795209,1.201341,0.027206,0.2083271,1.35063,-0.0967345,0.0554533,1.499391,-0.0810471,-0.0817135,1.713434,-5.04e-05,-0.2235951,1.459876,-0.09966,0.0666882,-0.7883201,-0.6115847,0.0544225,0.0606897,0.1543364,-0.4327859,0.3336017,0.590241,-0.5584449,-0.3371131,0.2035909,0.2532866,0.1020276,0.1240981,0.1340945,-0.0001688,-0.0100732,-0.1482491,-0.3867804,-0.186884
0.023,-0.2203649,1.20977,0.0618147,-0.0223717,1.181099,0.0749529,0.080063,1.201201,0.0277536,0.2085556,1.350606,-0.0957793,0.056305,1.499267,-0.0809416,-0.0816149,1.713358,3.07e-05,-0.2229752,1.459908,-0.1002653,0.0651162,-0.7844128,-0.6167523,0.0544043,0.0594531,0.154091,-0.4333757,0.3353218,0.5905308,-0.5570449,-0.3398579,0.2077503,0.2509095,0.1088792,0.1246647,0.1353021,-0.0030879,-0.0105505,-0.1463078,-0.3886202,-0.1863351
0.044,-0.2203517,1.209169,0.0617425,-0.0225762,1.180724,0.0751358,0.0802022,1.200952,0.0281897,0.208912,1.350396,-0.0947875,0.0566185,1.499065,-0.0806036,-0.0816781,1.7131,4.5e-05,-0.2223034,1.459925,-0.1008448,0.0666304,-0.7841015,-0.616977,0.0556529,0.0599282,0.1529843,-0.4340467,0.3362304,0.589686,-0.5556819,-0.3414724,0.2088724,0.2524773,0.1089914,0.1246262,0.1350773,-0.0045246,-0.0099652,-0.1445491,-0.3920687,-0.1855213
0.066,-0.2205647,1.208987,0.0608231,-0.0227149,1.180634,0.0755625,0.0803817,1.200982,0.0289179,0.2094108,1.350084,-0.0937352,0.057163,1.499013,-0.0800421,-0.0817801,1.713162,0.0001045,-0.221789,1.459838,-0.1014779,0.0691558,-0.7825756,-0.6185936,0.0543553,0.0579366,0.15508,-0.4403372,0.3340221,0.5938569,-0.5577192,-0.3376777,0.2056796,0.2529788,0.1104072,0.1268209,0.135718,-0.0078275,-0.0092737,-0.1424937,-0.3916259,-0.1855158
0.088,-0.2207502,1.209264,0.0603166,-0.023035,1.180551,0.0755474,0.080218,1.200977,0.0295081,0.2096255,1.349831,-0.0928409,0.0572509,1.498849,-0.07957,-0.0818096,1.713186,0.0001528,-0.2217069,1.459897,-0.1014661,0.0696592,-0.7827733,-0.6182715,0.0516422,0.0574161,0.1549682,-0.4394395,0.3371702,0.5913138,-0.5580581,-0.3354595,0.2048581,0.2534752,0.1095292,0.1268365,0.136074,-0.0097956,-0.0091063,-0.1466226,-0.3929764,-0.186167
0.111,-0.2210818,1.209191,0.0594433,-0.0234231,1.180738,0.075959,0.0799061,1.200891,0.0300923,0.2103254,1.349858,-0.0921972,0.0577097,1.498687,-0.0791834,-0.081856,1.713236,0.0002465,-0.221303,1.459733,-0.1019097,0.0710156,-0.7842069,-0.6162296,0.0522342,0.0540964,0.154062,-0.4402681,0.3396633,0.5912135,-0.5612888,-0.3300974,0.198457,0.2532743,0.1123447,0.126562,0.1363688,-0.0118602,-0.0086422,-0.1462757,-0.3937969,-0.1863178
0.134,-0.2213949,1.20909,0.0591919,-0.0238017,1.180697,0.0763686,0.0797413,1.201176,0.0305967,0.2100288,1.349744,-0.0904324,0.0583341,1.498594,-0.0786338,-0.0820166,1.712851,0.0002724,-0.2209946,1.459834,-0.1025661,0.0726593,-0.7840124,-0.6162751,0.0538476,0.0506411,0.1544663,-0.4448734,0.3391206,0.5920413,-0.5572529,-0.3352077,0.2060672,0.2526775,0.1163419,0.1258703,0.1351386,-0.0130232,-0.0085764,-0.1434167,-0.3949601,-0.1871096
0.154,-0.2219536,1.208941,0.059852,-0.0243828,1.180531,0.0770699,0.0791612,1.20038,0.0316247,0.210749,1.349712,-0.0889285,0.058669,1.49851,-0.0778286,-0.0821073,1.713081,0.0003898,-0.2205007,1.46009,-0.1031791,0.0700967,-0.7836793,-0.6169797,0.0532729,0.0497471,0.1542683,-0.4439906,0.3437627,0.584368,-0.5601206,-0.3282536,0.1987106,0.251928,0.1200701,0.1280292,0.1357621,-0.016917,-0.0077856,-0.1451426,-0.3965877,-0.1896802
0.176,-0.2224432,1.20815,0.0609692,-0.0248121,1.18023,0.0777437,0.0790736,1.200403,0.0329346,0.2107123,1.349218,-0.0868656,0.0587959,1.498478,-0.0766639,-0.082317,1.71324,0.0005217,-0.2200013,1.459848,-0.1038659,0.0717644,-0.7843109,-0.6160536,0.0533129,0.0500683,0.1552832,-0.4467505,0.3423063,0.5872407,-0.5546279,-0.3331735,0.2013692,0.2544288,0.1202917,0.1295695,0.136019,-0.0192295,-0.007594,-0.1425435,-0.3991259,-0.1891893
0.198,-0.2226517,1.207517,0.0630912,-0.0252358,1.179328,0.0786702,0.0786089,1.199591,0.0346405,0.211201,1.349163,-0.0853578,0.0584363,1.498631,-0.0758165,-0.0825033,1.713196,0.000605,-0.2199825,1.460077,-0.1044152,0.069279,-0.7838414,-0.6169688,0.0548336,0.052487,0.1549061,-0.4427083,0.3443612,0.5869225,-0.5561554,-0.3281931,0.1975093,0.253474,0.1205722,0.1331124,0.1350448,-0.0210283,-0.0075222,-0.1433472,-0.4008986,-0.1893271
