time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
0.0,-0.2013287,1.295737,-0.0471626,-0.0236273,1.33955,-0.1466401,0.091815,1.350131,-0.186922,0.2228395,1.432862,-0.2810653,0.0384874,1.563456,-0.3472695,-0.089809,1.804481,-0.2422528,-0.2050569,1.542653,-0.3482269,-0.0148929,-0.8024595,-0.4933322,0.3488199,-0.3055783,-0.2945359,0.3064948,-0.5531937,-0.2361211,-0.4620207,-0.1877787,-0.0042298,-0.1816173,-0.0284404,0.0385594,0.0909552,0.0094878,0.0354181,-0.1964207,-0.1908991,0.0065817
0.023,-0.2224757,1.278335,-0.0957958,-0.0353216,1.324188,-0.173442,0.0831006,1.33793,-0.2051769,0.2200402,1.425432,-0.283946,0.0402379,1.563264,-0.3459276,-0.0909727,1.802937,-0.2393306,-0.203707,1.542926,-0.3468905,0.0055908,-0.7926049,-0.5378152,0.2946833,-0.2411541,-0.2904451,0.3467021,-0.5657096,-0.2610542,-0.4915576,-0.1669195,-0.0188476,-0.1762946,-0.0296105,0.0380003,0.0994144,-0.0044175,0.0339612,-0.1957737,-0.1923958,0.0041907
0.046,-0.2309396,1.270351,-0.1190121,-0.0400862,1.319854,-0.185082,0.0802453,1.334076,-0.2124237,0.2191816,1.422774,-0.2848187,0.0409115,1.562958,-0.3453191,-0.0912357,1.802695,-0.2381085,-0.2034272,1.542942,-0.3464089,0.0296495,-0.7885138,-0.5535146,0.2843716,-0.2136307,-0.2914521,0.3610099,-0.5712897,-0.2710302,-0.5024419,-0.1585554,-0.0264651,-0.1751189,-0.0287433,0.0381843,0.1045775,-0.0097612,0.033076,-0.1949102,-0.1912889,0.0038392
0.068,-0.2369662,1.264269,-0.1387093,-0.0436337,1.316695,-0.1952951,0.0781758,1.331599,-0.2186817,0.2183288,1.421214,-0.2851419,0.0410529,1.562323,-0.3443536,-0.0913776,1.801724,-0.2371284,-0.2026065,1.542823,-0.3461844,0.0437912,-0.7799362,-0.5723963,0.27637,-0.1926819,-0.2897783,0.3794763,-0.5750762,-0.2798371,-0.5110791,-0.1529896,-0.0316888,-0.1774234,-0.0257376,0.0350637,0.1068981,-0.0124913,0.0332716,-0.1940481,-0.195099,0.0034445
0.09,-0.2414758,1.259326,-0.1557146,-0.0462392,1.314145,-0.2029104,0.0761744,1.329368,-0.2229272,0.2181444,1.420102,-0.2848604,0.0411521,1.562188,-0.3437537,-0.0917173,1.800969,-0.2363029,-0.2024589,1.54277,-0.3459962,0.0642209,-0.7729056,-0.5856732,0.2616731,-0.1700027,-0.2891583,0.3863025,-0.580164,-0.2822654,-0.5154019,-0.1469098,-0.037951,-0.1785011,-0.0245093,0.033402,0.1087991,-0.0141433,0.0327341,-0.1934515,-0.1950992,0.0033012
0.112,-0.2468494,1.254837,-0.1730595,-0.0494496,1.311847,-0.2083646,0.0745745,1.328012,-0.2255203,0.2176804,1.419138,-0.2838415,0.0409267,1.5624,-0.3437217,-0.0917558,1.80026,-0.2355069,-0.20287,1.542529,-0.3456147,0.0830054,-0.7697507,-0.5953555,0.254395,-0.1376986,-0.2887923,0.3912423,-0.5874586,-0.2814609,-0.5211431,-0.1409041,-0.0455711,-0.1726542,-0.0274886,0.0331742,0.1110143,-0.015548,0.0332601,-0.1929025,-0.1930507,0.0028915
0.135,-0.2486736,1.253405,-0.1756463,-0.0509497,1.311772,-0.2078172,0.0734077,1.328142,-0.2243134,0.2168653,1.418819,-0.2826918,0.0407257,1.562503,-0.3436185,-0.0918774,1.800009,-0.2352787,-0.20317,1.54218,-0.3456958,0.0912969,-0.7728235,-0.5929393,0.2656892,-0.1351428,-0.289569,0.3937464,-0.5846587,-0.2838705,-0.5203797,-0.1390965,-0.0437455,-0.1716295,-0.0280862,0.0330511,0.1125219,-0.0154397,0.0333999,-0.1922517,-0.1919252,0.0022361
0.158,-0.2495225,1.252737,-0.1689703,-0.052188,1.312299,-0.2033029,0.0720686,1.328666,-0.2207407,0.2156471,1.419187,-0.2809495,0.0406896,1.562647,-0.3434752,-0.091848,1.799727,-0.235241,-0.2030292,1.542033,-0.3456833,0.0940894,-0.778316,-0.583009,0.2761327,-0.1418051,-0.2903879,0.3909459,-0.5835961,-0.2794857,-0.5165676,-0.1410137,-0.0386147,-0.1727322,-0.028449,0.0350186,0.1141041,-0.0142968,0.0340992,-0.1921602,-0.1929389,0.0034499
0.181,-0.2495831,1.25256,-0.156728,-0.0536455,1.313532,-0.1950063,0.0705224,1.329957,-0.2145295,0.2144892,1.420166,-0.2787723,0.039944,1.563131,-0.3436366,-0.0917139,1.799608,-0.235536,-0.2030473,1.541912,-0.3458806,0.0963745,-0.7845182,-0.5697533,0.2861953,-0.1538879,-0.2921406,0.3806746,-0.5834219,-0.2706117,-0.5096337,-0.1420932,-0.0321566,-0.1742041,-0.0289966,0.0355607,0.1160712,-0.0121813,0.033396,-0.1919908,-0.1920243,0.0033317
0.202,-0.2491792,1.253631,-0.1401398,-0.0548703,1.316142,-0.1840207,0.0685812,1.332318,-0.2060337,0.2128124,1.421465,-0.2753487,0.0392572,1.563587,-0.344103,-0.0917464,1.79926,-0.2359391,-0.2031279,1.541751,-0.346129,0.0907868,-0.7828458,-0.5677493,0.2949942,-0.1666446,-0.296348,0.3685153,-0.581289,-0.2628092,-0.498642,-0.1451798,-0.0235155,-0.1747019,-0.0322742,0.0364227,0.1161653,-0.0103511,0.0335359,-0.1920981,-0.1922096,0.0046594
0.223,-0.248292,1.258991,-0.1079486,-0.0569954,1.322097,-0.1633116,0.0654502,1.337841,-0.1900382,0.209756,1.424344,-0.2689721,0.0383648,1.5637,-0.345022,-0.0917932,1.799586,-0.2371168,-0.2040403,1.54172,-0.3465469,0.078024,-0.7891678,-0.549801,0.3156713,-0.1936682,-0.3000477,0.3483588,-0.5771425,-0.2485508,-0.4776266,-0.1479911,-0.0106919,-0.1753061,-0.038063,0.0369562,0.1141343,-0.008187,0.0343545,-0.1927645,-0.1873443,0.0057581
0.245,-0.2478425,1.266154,-0.08329,-0.0584273,1.327183,-0.1470249,0.0623272,1.344951,-0.1776496,0.2072742,1.42713,-0.26351,0.0372666,1.564181,-0.3457573,-0.0920076,1.800227,-0.2381054,-0.2044852,1.541492,-0.3469853,0.0672168,-0.8022557,-0.5251361,0.3329162,-0.213137,-0.3025539,0.3181944,-0.5823026,-0.2471905,-0.460728,-0.1486212,-6.74e-05,-0.1755201,-0.0420157,0.0367288,0.1094434,-0.0071166,0.0339236,-0.193057,-0.1855596,0.0061572
0.268,-0.2467209,1.274749,-0.056579,-0.0599122,1.333638,-0.1296989,0.0603704,1.348252,-0.1639482,0.2046727,1.43082,-0.2573963,0.0364369,1.564506,-0.346451,-0.0924255,1.80151,-0.2393551,-0.2038069,1.541119,-0.3477032,0.0572492,-0.8158039,-0.4959593,0.3538812,-0.2331748,-0.3065099,0.3139804,-0.5700336,-0.2201238,-0.4447229,-0.1492995,0.009912,-0.1744469,-0.0486807,0.0370128,0.1049614,-0.0066203,0.0330191,-0.1920815,-0.1907454,0.0089335
0.29,-0.244514,1.283811,-0.0283761,-0.0613529,1.340995,-0.1114911,0.0573371,1.355164,-0.1494166,0.2015348,1.435151,-0.2503654,0.0350269,1.56484,-0.3466661,-0.0928371,1.803031,-0.2408437,-0.2045104,1.540844,-0.3482553,0.0460843,-0.8237171,-0.4705856,0.377627,-0.2547762,-0.3122081,0.2938164,-0.5646798,-0.2045335,-0.4239877,-0.1479442,0.0211967,-0.1757322,-0.05695,0.0377852,0.0996812,-0.0075881,0.0315558,-0.1947085,-0.1869888,0.0096965
0.313,-0.2403659,1.297859,0.0133799,-0.0638041,1.354624,-0.0828124,0.0531515,1.368228,-0.1264617,0.1963748,1.443804,-0.2388672,0.0330413,1.565553,-0.3476075,-0.0938071,1.804926,-0.2434411,-0.2048068,1.540452,-0.3493796,0.0329905,-0.8241498,-0.4486268,0.4007331,-0.2829697,-0.3180086,0.2727602,-0.5556271,-0.1826501,-0.391967,-0.1431042,0.0322136,-0.1691151,-0.0720027,0.0399129,0.0881372,-0.0090047,0.0291325,-0.1966823,-0.1875232,0.0110378
0.335,-0.2383973,1.309706,0.0402566,-0.0656728,1.365749,-0.063091,0.0499562,1.378693,-0.1097943,0.1929186,1.451279,-0.2307156,0.0320184,1.565911,-0.3478845,-0.0947346,1.806232,-0.2453291,-0.2057132,1.540433,-0.3501098,0.0272927,-0.8223335,-0.4393098,0.4115546,-0.2999228,-0.3212762,0.2575266,-0.5496962,-0.1662426,-0.3699388,-0.1362299,0.0336538,-0.16908,-0.085504,0.0417631,0.0788244,-0.0110804,0.0265436,-0.1981565,-0.1838616,0.0104919
