id,trueTarget.X,trueTarget.Y,trueTarget.Z
21,-1,0.49,1.5
22,-1,0.49,1.5
58,-1,0.49,1.5
90,-1,0.49,1.5
129,-1,0.49,1.5
1,-1,0.49,2.5
5,-1,0.49,2.5
27,-1,0.49,2.5
115,-1,0.49,2.5
134,-1,0.49,2.5
41,-1,0.49,3.5
73,-1,0.49,3.5
79,-1,0.49,3.5
89,-1,0.49,3.5
94,-1,0.49,3.5
52,-1,1.49,1.5
53,-1,1.49,1.5
70,-1,1.49,1.5
101,-1,1.49,1.5
105,-1,1.49,1.5
4,-1,1.49,2.5
38,-1,1.49,2.5
43,-1,1.49,2.5
49,-1,1.49,2.5
133,-1,1.49,2.5
0,-1,1.49,3.5
25,-1,1.49,3.5
33,-1,1.49,3.5
119,-1,1.49,3.5
124,-1,1.49,3.5
13,-1,2.49,1.5
42,-1,2.49,1.5
57,-1,2.49,1.5
81,-1,2.49,1.5
95,-1,2.49,1.5
32,-1,2.49,2.5
37,-1,2.49,2.5
67,-1,2.49,2.5
83,-1,2.49,2.5
132,-1,2.49,2.5
10,-1,2.49,3.5
12,-1,2.49,3.5
28,-1,2.49,3.5
65,-1,2.49,3.5
77,-1,2.49,3.5
7,0,0.49,1.5
66,0,0.49,1.5
72,0,0.49,1.5
87,0,0.49,1.5
103,0,0.49,1.5
40,0,0.49,2.5
45,0,0.49,2.5
61,0,0.49,2.5
75,0,0.49,2.5
111,0,0.49,2.5
6,0,0.49,3.5
16,0,0.49,3.5
59,0,0.49,3.5
74,0,0.49,3.5
86,0,0.49,3.5
55,0,1.49,1.5
63,0,1.49,1.5
84,0,1.49,1.5
97,0,1.49,1.5
104,0,1.49,1.5
39,0,1.49,2.5
71,0,1.49,2.5
102,0,1.49,2.5
112,0,1.49,2.5
130,0,1.49,2.5
69,0,1.49,3.5
114,0,1.49,3.5
121,0,1.49,3.5
127,0,1.49,3.5
128,0,1.49,3.5
14,0,2.49,1.5
26,0,2.49,1.5
30,0,2.49,1.5
31,0,2.49,1.5
93,0,2.49,1.5
15,0,2.49,2.5
50,0,2.49,2.5
64,0,2.49,2.5
118,0,2.49,2.5
122,0,2.49,2.5
2,0,2.49,3.5
56,0,2.49,3.5
98,0,2.49,3.5
116,0,2.49,3.5
131,0,2.49,3.5
3,1,0.49,1.5
36,1,0.49,1.5
88,1,0.49,1.5
107,1,0.49,1.5
113,1,0.49,1.5
23,1,0.49,2.5
35,1,0.49,2.5
44,1,0.49,2.5
60,1,0.49,2.5
99,1,0.49,2.5
48,1,0.49,3.5
85,1,0.49,3.5
91,1,0.49,3.5
109,1,0.49,3.5
120,1,0.49,3.5
8,1,1.49,1.5
51,1,1.49,1.5
76,1,1.49,1.5
92,1,1.49,1.5
108,1,1.49,1.5
17,1,1.49,2.5
29,1,1.49,2.5
78,1,1.49,2.5
110,1,1.49,2.5
126,1,1.49,2.5
9,1,1.49,3.5
20,1,1.49,3.5
80,1,1.49,3.5
96,1,1.49,3.5
123,1,1.49,3.5
19,1,2.49,1.5
34,1,2.49,1.5
54,1,2.49,1.5
62,1,2.49,1.5
100,1,2.49,1.5
18,1,2.49,2.5
47,1,2.49,2.5
82,1,2.49,2.5
106,1,2.49,2.5
117,1,2.49,2.5
11,1,2.49,3.5
24,1,2.49,3.5
46,1,2.49,3.5
68,1,2.49,3.5
125,1,2.49,3.5
